RK,PLAYER,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.
1,Robert Garrigus,315.5,55.7,176,61.9,1.786,37.3
2,Bubba Watson,309.8,55.7,178,68.5,1.763,47
3,Dustin Johnson,308.5,56.4,175,68,1.767,44.8
4,Brett Wetterich,307.3,57.8,166,68.1,1.801,46.3
5,J.B. Holmes,307.2,54.5,188,65.5,1.77,52.8
6,Graham DeLaet,305.7,64.7,84,66.4,1.815,45.7
7,John Daly,305.7,52.2,195,57.3,1.788,50.5
8,Angel Cabrera,304.5,54.5,190,65.8,1.799,45
9,Charles Warren,302.5,65.9,70,65,1.805,46.5
10,D.J. Trahan,301.1,61.4,143,71.3,1.79,48.3
11,Martin Flores,300.7,50.2,203,61.3,1.786,51.8
12,Rory McIlroy,300,62.6,127,66.2,1.795,52.5
13,Phil Mickelson,299.1,52.7,201,65.1,1.762,53.6
14,Aaron Baddeley,298.9,56.7,184,64.6,1.735,54.8
15,Charley Hoffman,298.2,61.6,143,65,1.752,50
16,Jason Day,298.2,57.8,178,67.7,1.777,54.8
17,Davis Love III,297.7,64.2,102,70.3,1.815,36.9
18,Jeff Overton,297.3,55.4,195,63.9,1.753,51.1
19,Scott Piercy,296.8,56,192,67.7,1.76,45
20,Martin Laird,296.5,60.3,164,67.8,1.794,51.6
21,Nick Watney,296.5,62.6,136,69.6,1.764,43.3
22,Troy Matteson,296.3,60.4,164,71.4,1.828,36.3
23,Jarrod Lyle,296.2,63.4,122,55.7,1.81,49.3
24,Andres Romero,296,55.1,202,65.1,1.781,47.5
25,Daniel Chopra,295.9,51.3,216,61.6,1.776,46.1
26,Ryan Palmer,295.8,57.2,190,65.5,1.744,52.4
27,Lucas Glover,295.7,62.8,138,67.4,1.783,54.6
28,Alex Prugh,295.7,58.4,185,67,1.768,52
29,Garth Mulroy,295.6,60.7,167,64.8,1.819,40.8
30,John Rollins,295.5,64.6,110,68.2,1.794,45
31,Marc Leishman,295,58.4,190,66.7,1.792,49.3
32,Cameron Tringale,294.5,58.7,189,62.5,1.834,39.7
33,Adam Scott,294.4,62.9,143,69.6,1.799,53
34,Charles Howell III,294.3,54.6,215,65.9,1.764,50
35,Paul Casey,294.2,61.3,169,68.7,1.753,47.9
36,Derek Lamely,294,54.8,216,57.3,1.794,47.9
