PLAYER,POS
Phil Mickelson,1
Lee Westwood,2
Anthony Kim,3
K.J. Choi,4
Tiger Woods,4
Fred Couples,6
Nick Watney,7
Hunter Mahan,8
Y.E. Yang,8
Ricky Barnes,10
Ian Poulter,10
Miguel Jimenez,12
Jerry Kelly,12
Trevor Immelman,14
Steve Marino,14
Ryan Moore,14
David Toms,14
Angel Cabrera,18
Ernie Els,18
Adam Scott,18
Heath Slocum,18
Scott Verplank,18
Tom Watson,18
Ben Crane,24
Matt Kuchar,24
Bill Haas,26
Geoff Ogilvy,26
Kenny Perry,26
Yuta Ikeda,29
Jason Dufner,30
Soren Kjeldsen,30
Francesco Molinari,30
Sean O'Hair,30
Charl Schwartzel,30
Steve Stricker,30
Lucas Glover,36
Matteo Manassero,36
Steve Flesch,38
Retief Goosen,38
Dustin Johnson,38
Camilo Villegas,38
Zach Johnson,42
Robert Karlsson,43
Mike Weir,43
Robert Allenby,45
Chad Campbell,45
Sergio Garcia,45
Nathan Green,48
Tim Clark,49
Ben Curtis,50
Ryo Ishikawa,51
Larry Mize,52
John Senden,53
Luke Donald,54
Soren Hansen,55
Padraig Harrington,56
Martin Kaymer,57
Bernhard Langer,58
Graeme McDowell,59
John Merrick,60
Mark O'Meara,61
Ryan Palmer,62
Nathan Smith,63
Brad Benjamin,64
Simon Dyson,65
Justin Leonard,66
Kevin Na,67
Alvaro Quiros,68
David Duval,69
Brian Gay,70
Todd Hamilton,71
Marc Leishman,72
Rory McIlroy,73
Edoardo Molinari,74
John Rollins,75
Oliver Wilson,76
Stewart Cink,77
Shingo Katayama,78
Louis Oosthuizen,79
Paul Casey,80
Ross Fisher,81
Rory Sabbatini,82
Vijay Singh,83
Chris Wood,84
Byeong-Hun An,85
Ben Crenshaw,86
Chang-won Han,87
Sandy Lyle,88
Ben Martin,89
Henrik Stenson,90
Jim Furyk,91
Anders Hansen,92
Craig Stadler,93
Michael Campbell,94
Ian Woosnam,95
