POS,PLAYER
1.00,Phil Mickelson
2.00,Lee Westwood
3.00,Anthony Kim
4.00,Tiger Woods
4.00,K.J. Choi
6.00,Fred Couples
7.00,Nick Watney
8.00,Y.E. Yang
8.00,Hunter Mahan
10.00,Ricky Barnes
10.00,Ian Poulter
12.00,Miguel Angel Jimenez
12.00,Jerry Kelly
14.00,Ryan Moore
14.00,David Toms
14.00,Trevor Immelman
14.00,Steve Marino
18.00,Ernie Els
18.00,Scott Verplank
18.00,Adam Scott
18.00,Angel Cabrera
18.00,Heath Slocum
18.00,Tom Watson
24.00,Ben Crane
24.00,Matt Kuchar
26.00,Kenny Perry
26.00,Geoff Ogilvy
26.00,Bill Haas
29.00,Yuta Ikeda
30.00,Jason Dufner
30.00,Steve Stricker
30.00,Francesco Molinari
30.00,Charl Schwartzel
30.00,Soren Kjeldsen
30.00,Sean O'Hair
36.00,Lucas Glover
36.00,Matteo Manassero
38.00,Retief Goosen
38.00,Dustin Johnson
38.00,Camilo Villegas
38.00,Steve Flesch
42.00,Zach Johnson
43.00,Robert Karlsson
43.00,Mike Weir
45.00,Chad Campbell
45.00,Robert Allenby
45.00,Sergio Garcia
48.00,Nathan Green
-,Larry Mize
-,Ben Curtis
-,John Senden
-,Tim Clark
-,Ryo Ishikawa
-,Ryan Palmer
-,Soren Hansen
-,Padraig Harrington
-,John Merrick
-,Bernhard Langer
-,Graeme McDowell
-,Mark O'Meara
-,Nathan Smith
-,Martin Kaymer
-,Luke Donald
-,Simon Dyson
-,Kevin Na
-,Justin Leonard
-,Brad Benjamin
-,Alvaro Quiros
-,John Rollins
-,Rory McIlroy
-,Edoardo Molinari
-,David Duval
-,Brian Gay
-,Marc Leishman
-,Todd Hamilton
-,Oliver Wilson
-,Shingo Katayama
-,Stewart Cink
-,Louis Oosthuizen
-,Ross Fisher
-,Rory Sabbatini
-,Paul Casey
-,Chris Wood
-,Vijay Singh
-,Sandy Lyle
-,Ben Crenshaw
-,Ben Martin
-,Chang-won Han
-,Henrik Stenson
-,Byeong-Hun An
-,Jim Furyk
-,Craig Stadler
-,Anders Hansen
-,Michael Campbell
-,Ian Woosnam
-,Thongchai Jaidee
