PLAYER,Strokes gained tee to green
Adam Scott,1.566
Vijay Singh,1.443
Steve Stricker,1.382
Jim Furyk,1.131
Camilo Villegas,1.088
Phil Mickelson,1.076
Bo Van Pelt,1.064
Robert Allenby,0.978
Bill Haas,0.954
Ernie Els,0.947
Rory McIlroy,0.94
D.J. Trahan,0.924
Justin Rose,0.906
Retief Goosen,0.879
K.J. Choi,0.857
Charley Hoffman,0.828
J.B. Holmes,0.806
Dustin Johnson,0.803
Heath Slocum,0.8
Matt Kuchar,0.782
Nick Watney,0.767
Padraig Harrington,0.747
Bubba Watson,0.739
Joe Durant,0.731
John Senden,0.706
Chad Campbell,0.705
Graham DeLaet,0.695
Brendon de Jonge,0.689
Jason Day,0.684
John Rollins,0.662
Kenny Perry,0.645
Davis Love III,0.641
Jerry Kelly,0.638
Sean O'Hair,0.633
Stewart Cink,0.617
Paul Casey,0.6
Rickie Fowler,0.591
Will MacKenzie,0.563
Ben Crane,0.562
Jason Dufner,0.559
Luke Donald,0.539
Hunter Mahan,0.535
Boo Weekley,0.532
Ricky Barnes,0.529
Tim Clark,0.525
Kevin Sutherland,0.502
Marc Leishman,0.498
Charles Warren,0.497
Billy Mayfair,0.483
Jonathan Byrd,0.445
Freddie Jacobson,0.441
David Toms,0.417
Angel Cabrera,0.398
Vaughn Taylor,0.394
Martin Laird,0.389
Sergio Garcia,0.384
Spencer Levin,0.381
Lucas Glover,0.369
Geoff Ogilvy,0.366
Ryan Moore,0.35
Kevin Na,0.338
Alex Cejka,0.333
Justin Leonard,0.326
Scott Verplank,0.324
Kris Blanks,0.32
Rory Sabbatini,0.32
Rocco Mediate,0.3
Charles Howell III,0.283
Chris Riley,0.269
D.A. Points,0.249
Jason Bohn,0.247
Troy Matteson,0.24
Shaun Micheel,0.227
Steve Marino,0.219
Zach Johnson,0.21
Brett Wetterich,0.207
Paul Stankowski,0.204
Tom Pernice Jr.,0.2
Steve Elkington,0.198
Tom Gillis,0.195
Tim Petrovic,0.185
Aron Price,0.179
Briny Baird,0.174
Jeev Milkha Singh,0.164
Jeff Overton,0.159
Cameron Percy,0.158
Stephen Ames,0.141
Omar Uresti,0.141
Stuart Appleby,0.139
Josh Teater,0.135
Chris Stroud,0.121
Cameron Tringale,0.116
Pat Perez,0.114
John Merrick,0.105
J.J. Henry,0.089
Chris DiMarco,0.067
Cliff Kresge,0.055
Brandt Snedeker,0.046
Woody Austin,0.042
Charlie Wi,0.041
Michael Letzig,0.038
Brian Davis,0.02
Kevin Streelman,0.02
Lee Janzen,0.01
Garth Mulroy,0.003
Kevin Stadler,0.003
Garrett Willis,0.002
Y.E. Yang,-0.021
Jarrod Lyle,-0.022
Bryce Molder,-0.03
Ben Curtis,-0.048
Nicholas Thompson,-0.061
Dean Wilson,-0.072
Brett Quigley,-0.083
Matt Jones,-0.095
Chris Couch,-0.103
Bob Estes,-0.11
J.P. Hayes,-0.144
Rod Pampling,-0.147
Jay Williamson,-0.147
Andres Romero,-0.148
Mathias Gronberg,-0.167
Alex Prugh,-0.17
Greg Owen,-0.193
Robert Garrigus,-0.197
Mathew Goggin,-0.202
Mark Wilson,-0.203
Paul Goydos,-0.229
Ryan Palmer,-0.231
Webb Simpson,-0.232
Jimmy Walker,-0.238
Johnson Wagner,-0.24
Brian Gay,-0.245
Roger Tambellini,-0.249
Cameron Beckman,-0.251
Mike Weir,-0.269
Michael Connell,-0.27
Mark Calcavecchia,-0.278
Chris Tidland,-0.288
Scott Piercy,-0.294
Carl Pettersson,-0.295
Ryuji Imada,-0.315
John Mallinger,-0.321
Michael Sim,-0.334
James Driscoll,-0.342
Jeff Gove,-0.349
George McNeill,-0.349
Michael Bradley,-0.36
Aaron Baddeley,-0.367
Trevor Immelman,-0.398
Joe Ogilvie,-0.41
Matt Every,-0.42
Scott McCarron,-0.423
John Daly,-0.424
Jeff Maggert,-0.428
David Duval,-0.436
Roland Thatcher,-0.451
James Nitties,-0.457
Greg Chalmers,-0.467
Tim Herron,-0.477
Blake Adams,-0.495
Jeff Quinney,-0.503
Henrik Bjornstad,-0.505
Chad Collins,-0.51
Bill Lunde,-0.522
Richard Johnson,-0.541
Ian Poulter,-0.546
Nathan Green,-0.62
Steve Flesch,-0.632
Derek Lamely,-0.697
Rich Barcelo,-0.75
Brenden Pappas,-0.754
Craig Bowden,-0.793
David Lutterus,-0.829
Ted Purdy,-0.856
Martin Flores,-0.866
Steve Lowery,-0.89
Steve Wheatcroft,-0.934
Matt Bettencourt,-0.943
Andrew McLardy,-0.958
Troy Merritt,-1.029
Chris Wilson,-1.08
Brian Stuard,-1.115
Brent Delahoussaye,-1.15
Skip Kendall,-1.191
Vance Veazey,-1.447
Justin Bolli,-1.479
Daniel Chopra,-1.535
Kevin Johnson,-1.924
Jerod Turner,-2
Greg Kraft,-2.027
Brad Faxon,-2.603
