RK,PLAYER,AGE,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.
1,J.B. Holmes,34,318.4,52.1,183,66.5,1.762,43.3
2,Bubba Watson,37,314.9,56.9,154,69.8,1.785,38.7
3,Dustin Johnson,31,314.2,57.2,150,68.4,1.759,41.5
4,Robert Garrigus,38,313.4,53,184,66.1,1.783,40.9
5,Gary Woodland,32,310.5,58.1,142,69.4,1.793,42.6
6,Steven Bowditch,32,308.3,55.1,175,60.7,1.741,46.8
7,Scott Piercy,37,305.4,56.8,161,62.5,1.773,41.2
8,Jhonattan Vegas,31,304.9,54.7,181,64,1.82,40.6
9,Kyle Stanley,28,304.6,59.5,133,62.6,1.769,41.6
10,Will Strickler,--,304.1,57.4,154,57.2,1.815,38.4
11,Scott Stallings,31,303.7,56.9,164,61.8,1.791,31.5
12,Tag Ridings,41,303.3,57,162,59.2,1.786,45.3
13,Martin Laird,33,303,58.5,147,66.6,1.761,44.2
14,Jason Day,28,302.6,54.7,186,64.9,1.737,61
15,Josh Teater,37,302.3,61.5,113,63,1.779,46.2
16,Nick Watney,35,301.9,58.2,152,66.9,1.738,48.1
17,Harrison Frazar,44,301.8,51.5,201,62.5,1.791,42.2
18,Jim Herman,38,301.7,57,169,60.1,1.831,30.5
19,Angel Cabrera,46,301.6,55,189,58.8,1.767,39.8
20,Keegan Bradley,29,300.7,61.5,116,63,1.767,39.3
21,Troy Matteson,36,300.2,58.8,153,62.8,1.78,37.7
22,Charley Hoffman,39,299.8,60.3,136,66.8,1.763,43.2
23,Phil Mickelson,45,299.8,53.2,199,67,1.778,52.2
24,Adam Scott,35,299.7,64,86,68.1,1.772,55.7
25,Rickie Fowler,27,299.5,56.7,182,64.5,1.723,45.1
26,Zack Miller,--,299.5,57.1,173,58.9,1.813,51.7
27,Ryan Palmer,39,299.5,53.8,201,63.8,1.772,51.2
28,Sergio Garcia,36,299.2,58,167,66.8,1.779,52.2
29,Robert Karlsson,46,299.2,56.8,183,63.4,1.776,54.1
30,Jimmy Walker,38,298.8,53.1,208,63.9,1.772,50
31,D.J. Trahan,35,298.6,59.8,152,69,1.819,50.7
32,Alex Prugh,31,298.6,57.4,176,62.7,1.808,34.6
33,Brandt Jobe,50,298.5,65.9,76,66.4,1.792,55.2
34,James Driscoll,38,298.5,55.8,196,58.1,1.794,42.9
35,Davis Love III,52,298.5,59.4,158,68.3,1.798,38.7
36,Scott Gutschewski,39,298,58.1,174,55.1,1.827,47.4
37,Derek Lamely,35,297.9,50.6,222,60.9,1.798,44.3
38,Bo Van Pelt,41,297.4,63.6,105,68,1.789,52.3
39,Bobby Gates,30,297.4,60.1,155,58.4,1.806,37.2
40,Charles Howell III,36,297.3,57.5,183,66.4,1.79,54.2
41,John Merrick,34,297.2,67.3,66,61,1.786,42
