PLAYER,GOING FOR THE GREEN %
Bubba Watson,74.04
Robert Garrigus,72.69
Boo Weekley,71.14
Jhonattan Vegas,70.66
Chris Couch,70.59
Sergio Garcia,69.87
Gary Woodland,69.84
Dustin Johnson,69.52
Charley Hoffman,69.1
Aaron Baddeley,68.3
Angel Cabrera,68
Nick Watney,67.86
Adam Scott,67.08
Scott Piercy,66.95
J.B. Holmes,66.32
Steven Bowditch,66.31
Bo Van Pelt,66.14
Bill Haas,65.17
Tag Ridings,65.1
D.J. Trahan,64.85
Kyle Stanley,64.69
Phil Mickelson,64.6
Jason Day,63.98
Martin Laird,63.93
Jeff Overton,63.71
Webb Simpson,62.12
Andres Romero,61.85
Josh Teater,61.66
John Senden,61.33
Ryan Palmer,60.83
Jonathan Byrd,60.23
Ryan Moore,60.18
Kevin Chappell,60
Tom Gillis,60
Rod Pampling,60
Joseph Bramlett,59.91
Will Strickler,59.86
Cameron Tringale,59.3
Robert Allenby,59.13
Scott McCarron,58.89
Charl Schwartzel,58.62
Bobby Gates,58.61
Robert Karlsson,57.93
James Driscoll,57.89
Kevin Stadler,57.45
Keegan Bradley,57.14
Troy Matteson,57.14
Rory Sabbatini,57.14
Sung Kang,57.06
Justin Rose,57.02
Anthony Kim,57.01
Marc Leishman,56.75
Hunter Mahan,56.75
George McNeill,56.72
John Rollins,56.51
Tommy Gainey,56.25
Matt Bettencourt,56.12
J.J. Henry,55.92
Jimmy Walker,55.73
Zack Miller,55.68
Charles Howell III,55.56
Matt Jones,55.51
Derek Lamely,55.45
Rickie Fowler,55.33
Kevin Streelman,55.3
Lucas Glover,54.93
Y.E. Yang,54.79
Steve Marino,54.78
Michael Putnam,54.74
Ricky Barnes,54.55
D.A. Points,54.44
Harrison Frazar,53.74
Carl Pettersson,53.65
Jim Herman,53.62
Ernie Els,53.49
Jim Renner,53.4
Scott Gutschewski,52.97
John Merrick,52.94
Hunter Haas,52.83
Sean O'Hair,52.58
Brandt Snedeker,52.47
Graeme McDowell,52.45
Brendan Steele,52.43
Davis Love III,52.38
Billy Horschel,52.23
Chez Reavie,52.01
Bio Kim,51.94
Vijay Singh,51.74
Chris Stroud,51.59
Troy Merritt,51.5
D.J. Brigman,51.38
Billy Mayfair,51.27
Bill Lunde,51.14
Matt Kuchar,51
Pat Perez,50.94
Camilo Villegas,50.76
Chris Kirk,50.72
Ben Martin,50.21
Scott Stallings,50.2
Kevin Na,50
Fabian Gomez,49.8
Spencer Levin,49.69
Alex Prugh,49.62
Brian Davis,49.56
Roland Thatcher,49.3
Padraig Harrington,49.11
Andres Gonzales,48.68
Geoff Ogilvy,48.37
Freddie Jacobson,48.32
Brandt Jobe,48.2
Paul Stankowski,48.05
Retief Goosen,47.92
Ben Crane,47.77
Garrett Willis,47.75
Nathan Green,47.62
Alexandre Rocha,47.5
Jason Bohn,47.27
Chad Campbell,47.12
Stewart Cink,47.06
Tim Herron,46.99
Jarrod Lyle,46.59
Cameron Beckman,46.58
Lee Janzen,46.47
David Duval,46.05
Joe Ogilvie,45.66
Martin Piller,45.65
Jason Dufner,45.54
Brendon de Jonge,45.48
Blake Adams,45.33
Daniel Summerhays,45.3
Steve Stricker,45.19
Kris Blanks,45.18
Michael Thompson,45.08
Mark Wilson,44.8
Ryuji Imada,44.6
Stuart Appleby,44.44
Rich Beem,44.44
Luke Donald,44.39
Tim Petrovic,44.29
Steve Elkington,44.24
Michael Bradley,43.9
K.J. Choi,43.9
William McGirt,43.83
Charlie Wi,43.82
Trevor Immelman,43.75
Aron Price,43.56
Matt McQuillan,43.4
J.P. Hayes,42.93
Alex Cejka,42.86
Kevin Kisner,42.71
Zach Johnson,42.68
Shane Bertsch,42.44
Woody Austin,42.31
Arjun Atwal,42.3
Ian Poulter,42.18
Vaughn Taylor,41.97
David Toms,41.95
Briny Baird,41.76
Steve Flesch,41.67
Joe Durant,41.63
David Hearn,41.31
Stephen Ames,40.59
Johnson Wagner,40.33
Jerry Kelly,40.27
Jim Furyk,39.84
Greg Chalmers,39.36
Heath Slocum,39.06
Kent Jones,38.46
Shaun Micheel,38.26
Rocco Mediate,37.97
Chris DiMarco,37.89
Ben Curtis,37.62
Michael Connell,37.2
Justin Hicks,36.18
David Mathis,35.95
Chris Riley,35.83
Justin Leonard,35.74
Bryce Molder,35.07
Dean Wilson,34.74
Marc Turnesa,34.36
Colt Knost,34.2
Nick O'Hern,32.59
Nate Smith,31.38
Paul Goydos,25.81
Richard Johnson,25.79
Brian Gay,22.35
