PLAYER,HIT FAIRWAY PCT
Joe Durant,76.44
Heath Slocum,74.81
Jerry Kelly,73.31
Ben Curtis,72.95
Nick O'Hern,72.89
Zach Johnson,72.62
Brian Gay,72.34
Brian Davis,72.15
Billy Mayfair,70.96
Chris Riley,70.91
Aron Price,70.8
David Toms,70.7
Jim Furyk,70.46
Steve Elkington,70.15
Rocco Mediate,70.04
Justin Hicks,69.66
Paul Goydos,69.16
Briny Baird,68.97
Ben Crane,68.63
Garrett Willis,68.62
Graeme McDowell,68.41
Jason Bohn,68.06
John Merrick,67.99
Mark Wilson,67.98
Bryce Molder,67.76
Shane Bertsch,67.73
David Mathis,67.73
Stephen Ames,67.63
John Senden,67.56
John Rollins,67.47
Johnson Wagner,67.42
Boo Weekley,67.3
Woody Austin,67.25
Rod Pampling,67.19
Adam Scott,67.14
Billy Horschel,67.13
Chez Reavie,67.13
Chris DiMarco,66.9
Chris Couch,66.81
Luke Donald,66.76
Kent Jones,66.67
Alex Cejka,66.61
J.J. Henry,66.51
Colt Knost,66.49
Justin Leonard,66.31
Blake Adams,66.3
Ian Poulter,66.06
Brandt Jobe,66.01
Jason Dufner,65.85
Michael Connell,65.84
Kevin Streelman,65.79
D.A. Points,65.56
Chad Campbell,65.3
Dean Wilson,65.3
Robert Allenby,65.26
Brendan Steele,65.23
Bill Haas,65.13
Matt McQuillan,65.07
Matt Kuchar,64.88
Tim Petrovic,64.81
Brendon de Jonge,64.68
Hunter Mahan,64.62
J.P. Hayes,64.61
Ben Martin,64.48
Justin Rose,64.46
Rich Beem,64.44
Spencer Levin,64.34
Ryan Moore,64.34
Scott McCarron,64.22
David Hearn,64.2
Brandt Snedeker,64.19
Bo Van Pelt,64
Hunter Haas,63.92
Pat Perez,63.91
Vaughn Taylor,63.88
Kris Blanks,63.86
Lee Janzen,63.82
Tom Gillis,63.81
Kevin Stadler,63.81
Richard Johnson,63.75
Fabian Gomez,63.64
K.J. Choi,63.6
Steve Stricker,63.51
Y.E. Yang,63.49
Marc Turnesa,63.29
Carl Pettersson,63.22
Webb Simpson,63.15
Sung Kang,63.12
Andres Gonzales,63.07
Troy Merritt,62.84
Charlie Wi,62.77
Greg Chalmers,62.65
Daniel Summerhays,62.58
Lucas Glover,62.56
Geoff Ogilvy,62.42
Josh Teater,62.42
Charl Schwartzel,62.41
Freddie Jacobson,62.2
Alexandre Rocha,62.08
Cameron Beckman,61.94
Davis Love III,61.94
Charley Hoffman,61.83
Jonathan Byrd,61.82
Keegan Bradley,61.72
Trevor Immelman,61.71
Ernie Els,61.65
Steve Flesch,61.54
Kevin Kisner,61.47
Michael Thompson,61.42
Cameron Tringale,61.39
Retief Goosen,61.38
William McGirt,61.29
Bill Lunde,61.24
Steve Marino,61.1
Kyle Stanley,60.96
George McNeill,60.93
Nate Smith,60.82
Joseph Bramlett,60.79
Vijay Singh,60.77
D.J. Trahan,60.74
Ryuji Imada,60.66
Bobby Gates,60.59
Jeff Overton,60.44
Roland Thatcher,60.38
Martin Laird,60.17
Sergio Garcia,60
Tommy Gainey,59.87
Paul Stankowski,59.82
Jim Renner,59.73
Nathan Green,59.67
Jarrod Lyle,59.66
Chris Stroud,59.57
Will Strickler,59.42
Bubba Watson,59.31
Kevin Chappell,59.17
Andres Romero,59.16
Nick Watney,59.14
Gary Woodland,59.14
Camilo Villegas,59.06
Stewart Cink,58.9
Stuart Appleby,58.86
Troy Matteson,58.83
Ricky Barnes,58.8
Scott Gutschewski,58.79
Rory Sabbatini,58.73
Kevin Na,58.45
Zack Miller,58.42
Charles Howell III,58.39
Dustin Johnson,58.34
Rickie Fowler,58.25
Robert Karlsson,58.01
Alex Prugh,57.97
Arjun Atwal,57.91
Tim Herron,57.91
Tag Ridings,57.9
Scott Stallings,57.66
Scott Piercy,57.64
Aaron Baddeley,57.38
Jim Herman,57.32
Shaun Micheel,57.22
Joe Ogilvie,57.13
Matt Bettencourt,57.05
Sean O'Hair,56.8
Michael Bradley,56.77
Steven Bowditch,56.66
James Driscoll,56.46
D.J. Brigman,56.41
Chris Kirk,56.32
Matt Jones,56.31
Jason Day,56.13
Padraig Harrington,55.83
Marc Leishman,55.78
Robert Garrigus,55.72
Martin Piller,55.4
Jhonattan Vegas,55.29
Ryan Palmer,55.15
Angel Cabrera,55.07
Michael Putnam,54.77
Phil Mickelson,54.67
Jimmy Walker,54.53
Bio Kim,54.5
J.B. Holmes,54.23
Harrison Frazar,54.17
David Duval,52.53
Derek Lamely,51.86
Anthony Kim,50.13
