PLAYER,STROKES GAINED PUTTING
Brandt Snedeker,0.86
Jonas Blixt,0.839
Luke Donald,0.804
Brian Gay,0.696
Bryce Molder,0.676
Martin Flores,0.64
Aaron Baddeley,0.634
Gavin Coles,0.617
Zach Johnson,0.596
Phil Mickelson,0.594
Derek Lamely,0.588
Bo Van Pelt,0.576
Jason Day,0.559
Ben Curtis,0.494
Ben Crane,0.485
Carl Pettersson,0.473
Y.E. Yang,0.467
James Driscoll,0.461
Jim Furyk,0.449
Ryan Moore,0.44
Jimmy Walker,0.438
Greg Chalmers,0.434
Ryan Palmer,0.434
Sergio Garcia,0.432
Brendon Todd,0.422
Matt Kuchar,0.379
Brian Davis,0.374
Tiger Woods,0.368
Daniel Chopra,0.366
Michael Thompson,0.36
Ken Duke,0.356
Johnson Wagner,0.352
Stewart Cink,0.347
David Mathis,0.341
Keegan Bradley,0.338
Spencer Levin,0.329
Charlie Wi,0.306
Billy Hurley III,0.3
Nathan Green,0.297
Jonathan Byrd,0.295
Ryuji Imada,0.289
David Hearn,0.288
Brandt Jobe,0.288
William McGirt,0.287
Kevin Kisner,0.281
Geoff Ogilvy,0.269
Tom Gillis,0.241
George McNeill,0.24
Jeff Overton,0.239
John Daly,0.219
Colt Knost,0.216
Richard Lee,0.216
Webb Simpson,0.214
Kevin Na,0.202
Blake Adams,0.197
Scott Piercy,0.189
Stuart Appleby,0.183
Dustin Johnson,0.18
Seung-Yul Noh,0.173
Tommy Biershenk,0.154
Jason Dufner,0.153
John Huh,0.152
Edward Loar,0.15
Troy Matteson,0.146
Ian Poulter,0.139
Martin Laird,0.138
Brendon de Jonge,0.135
Harris English,0.129
Dicky Pride,0.121
Tommy Gainey,0.12
Sangmoon Bae,0.119
Brian Harman,0.117
Ryo Ishikawa,0.117
Chris Couch,0.115
Steve Stricker,0.107
Cameron Tringale,0.107
Pat Perez,0.103
"Ted Potter, Jr.",0.103
Matt Every,0.093
Rory McIlroy,0.089
Bud Cauley,0.08
Roberto Castro,0.079
Bill Haas,0.074
John Senden,0.074
Chris Stroud,0.069
Charl Schwartzel,0.068
Vaughn Taylor,0.066
Charles Howell III,0.06
Bob Estes,0.045
Henrik Stenson,0.045
Troy Kelly,0.043
Danny Lee,0.034
Hunter Haas,0.033
Erik Compton,0.028
Harrison Frazar,0.022
Rocco Mediate,0.017
Davis Love III,0.014
Jhonattan Vegas,0.002
Russell Knox,-0.006
Kyle Reifers,-0.006
Garth Mulroy,-0.008
Nick Watney,-0.018
Daniel Summerhays,-0.02
J.B. Holmes,-0.022
Ernie Els,-0.023
Steve Wheatcroft,-0.028
John Rollins,-0.03
Sung Kang,-0.034
Kevin Streelman,-0.048
Gary Christian,-0.049
Jerry Kelly,-0.052
Louis Oosthuizen,-0.052
J.J. Henry,-0.058
Matt Jones,-0.06
Jason Bohn,-0.066
Hunter Mahan,-0.082
Billy Horschel,-0.087
Padraig Harrington,-0.092
D.A. Points,-0.103
Mark Anderson,-0.104
Jeff Maggert,-0.105
David Toms,-0.106
Brendan Steele,-0.107
John Mallinger,-0.12
J.J. Killeen,-0.122
Tim Clark,-0.124
Trevor Immelman,-0.127
Justin Rose,-0.128
Mark Wilson,-0.128
Michael Bradley,-0.153
Rod Pampling,-0.153
Adam Scott,-0.154
Will Claxton,-0.159
Chris Kirk,-0.165
Chris DiMarco,-0.166
Tim Herron,-0.166
Freddie Jacobson,-0.166
Patrick Sheehan,-0.166
Jason Kokrak,-0.171
Matt Bettencourt,-0.172
Chez Reavie,-0.173
Robert Garrigus,-0.175
Billy Mayfair,-0.175
Angel Cabrera,-0.186
Andres Romero,-0.192
Josh Teater,-0.199
Rickie Fowler,-0.202
Alexandre Rocha,-0.203
Bill Lunde,-0.204
Mathew Goggin,-0.216
Arjun Atwal,-0.22
Stephen Ames,-0.224
Kevin Stadler,-0.234
John Merrick,-0.244
Graeme McDowell,-0.248
Bubba Watson,-0.249
Marco Dawson,-0.25
Sean O'Hair,-0.278
Bobby Gates,-0.283
Kevin Chappell,-0.29
Tom Pernice Jr.,-0.299
Stephen Gangluff,-0.3
Graham DeLaet,-0.307
Cameron Beckman,-0.318
Marc Leishman,-0.324
Justin Leonard,-0.324
Miguel Angel Carballo,-0.337
Nick O'Hern,-0.359
Camilo Villegas,-0.362
Rory Sabbatini,-0.365
Scott Stallings,-0.376
Vijay Singh,-0.377
K.J. Choi,-0.379
Charlie Beljan,-0.397
Chad Campbell,-0.422
Robert Allenby,-0.431
Greg Owen,-0.437
Scott Brown,-0.474
Ricky Barnes,-0.48
Lee Westwood,-0.483
Gary Woodland,-0.498
Charley Hoffman,-0.503
Robert Karlsson,-0.551
Heath Slocum,-0.578
Roland Thatcher,-0.583
D.J. Trahan,-0.62
Kris Blanks,-0.646
Scott Dunlap,-0.703
Kyle Stanley,-0.789
Boo Weekley,-1.063
Kyle Thompson,-1.18
