RK,PLAYER,AGE,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.
1,Luke List,31,306.3,45.6,1,62.4,1.8,58.3
2,Dustin Johnson,31,305.8,53.4,2,66.7,1.778,42.7
3,Nicolas Colsaerts,33,305.7,53.8,3,66.8,1.855,33.3
4,Gary Woodland,32,303.8,57.6,4,67,1.763,40.3
5,Bubba Watson,37,303.7,58.7,5,69.4,1.795,46.1
6,Jason Kokrak,31,303.2,53.2,6,65.7,1.773,53.6
7,Robert Garrigus,38,302.4,55.4,7,66.2,1.758,39.1
8,Rory McIlroy,27,302.2,57.9,8,65.5,1.744,43.3
9,Eric Meierdierks,31,301.9,57.5,9,66.5,1.844,48.8
10,Ryan Palmer,39,301.5,57.7,10,66.2,1.737,45
11,Keegan Bradley,29,300.6,62.8,11,66.5,1.771,56.3
12,Martin Flores,34,300.4,53.7,12,65.5,1.778,56.3
13,Steven Bowditch,32,300.2,53,13,62,1.781,64.9
14,Sean O'Hair,33,299.7,55.7,14,62,1.824,47.7
15,Tag Ridings,41,299.6,53.4,15,65.8,1.779,52.4
16,Jason Day,28,299.3,58,16,64.9,1.759,61.4
17,Jim Herman,38,299.2,62.7,17,68,1.814,42.9
18,Seung-yul Noh,25,298.8,51.5,18,64.3,1.792,44.2
19,Graham DeLaet,34,298.6,65.8,19,70.5,1.799,48.9
20,Jimmy Walker,38,298.5,52.2,20,66.1,1.758,54.7
21,Scott Piercy,37,298.2,53.6,21,62.3,1.772,41.7
22,Kyle Stanley,28,298.1,59.5,22,67.4,1.841,38.2
23,Adam Scott,35,297.8,61.8,23,68.8,1.775,53.8
24,Robert Streb,29,297.7,59.6,24,65.6,1.79,43.1
25,Shawn Stefani,34,297.2,55,25,63.7,1.787,59.5
26,Brad Fritsch,38,297,58.1,26,66.6,1.78,58.7
27,Justin Rose,35,296.6,63.6,27,68.9,1.781,59.3
28,Bobby Gates,30,296.2,51.6,28,62.8,1.823,43.6
29,Charl Schwartzel,31,296.1,59.9,29,65.8,1.746,50.7
30,Scott Stallings,31,295.7,58.7,30,64.6,1.775,50.3
31,John Rollins,40,295.6,58.6,31,67.4,1.773,51.6
32,Charlie Beljan,31,295.4,59.9,32,64.6,1.827,47.4
33,Morgan Hoffmann,26,295.4,57.7,32,64.7,1.746,50
34,Peter Hanson,38,295.3,56.3,34,61.2,1.766,61
35,Harris English,26,295.2,58.7,35,66,1.749,52.7
36,Henrik Norlander,29,295,60.1,36,67.4,1.793,51.5
37,Charles Howell III,36,294.8,53.1,37,66,1.756,52.4
38,Steve LeBrun,38,294.1,60.2,38,67.5,1.813,46
39,Troy Matteson,36,294.1,55.4,38,64.8,1.801,50.5
40,Charley Hoffman,39,294,59.6,40,65.5,1.741,51.1
41,Angel Cabrera,46,294,56.2,40,65,1.816,36.9
42,Billy Horschel,29,293.8,64.2,42,67.5,1.745,53.1
43,Josh Teater,37,293.7,60.8,43,66.5,1.779,47.1
44,Lucas Glover,36,293.7,61.6,43,66.4,1.833,43.1
45,Cameron Percy,42,293.6,59.3,45,64.8,1.789,58.2
