PLAYER,BOUNCE BACK
Dustin Johnson,27.91
Vaughn Taylor,26.71
Chris Kirk,26.67
Sergio Garcia,26.38
Pat Perez,25.81
Daniel Summerhays,25.22
Robert Garrigus,24.88
Andres Romero,24.73
Bubba Watson,24.4
D.A. Points,24.26
Charley Hoffman,24.25
Jason Kokrak,24.24
Webb Simpson,24.17
Graham DeLaet,23.85
Bud Cauley,23.81
Stephen Ames,23.65
Seung-Yul Noh,23.47
Brian Davis,23.44
Zach Johnson,23.22
Justin Leonard,23.14
Chris Stroud,23.08
Ryan Palmer,23.04
Charl Schwartzel,22.92
Luke Guthrie,22.87
Justin Rose,22.82
Rory Sabbatini,22.78
Greg Chalmers,22.69
Luke Donald,22.58
James Driscoll,22.55
Ernie Els,22.4
Harris English,22.34
Phil Mickelson,22.34
Jim Herman,22.29
Keegan Bradley,22.27
Brandt Snedeker,22.27
Billy Horschel,22.26
Steve Stricker,22.22
John Rollins,22.17
Henrik Stenson,22.08
Greg Owen,22.03
Peter Hanson,21.97
Matt Every,21.8
Carl Pettersson,21.79
Scott Piercy,21.65
David Hearn,21.63
Stewart Cink,21.56
Ryan Moore,21.56
Aaron Baddeley,21.52
Hunter Mahan,21.52
D.H. Lee,21.51
Charlie Wi,21.5
Brendon de Jonge,21.32
Brad Fritsch,21.28
Richard Lee,21.28
Russell Henley,21.21
Kyle Stanley,21.19
John Senden,21.1
Justin Hicks,21.01
Martin Flores,21
Bill Haas,21
Jason Dufner,20.93
Freddie Jacobson,20.9
Robert Streb,20.9
Steven Bowditch,20.86
Morgan Hoffmann,20.86
James Hahn,20.83
D.J. Trahan,20.61
William McGirt,20.6
Jonas Blixt,20.47
Tommy Gainey,20.47
Shawn Stefani,20.43
Scott Brown,20.4
Roberto Castro,20.24
Ian Poulter,20.14
Doug LaBelle II,20.09
Jordan Spieth,20.09
Kevin Stadler,20.09
Fabian Gomez,20
Brian Harman,20
Alistair Presnell,19.89
Nicholas Thompson,19.86
David Toms,19.85
Cameron Tringale,19.72
Andrew Svoboda,19.7
Scott Gardiner,19.6
Martin Kaymer,19.59
Sean O'Hair,19.59
Gary Woodland,19.55
Sangmoon Bae,19.51
Tiger Woods,19.46
Ken Duke,19.4
Aaron Watkins,19.26
Henrik Norlander,19.19
Ryo Ishikawa,19.09
Chez Reavie,19.05
Scott Stallings,19.03
Ricky Barnes,19
Lucas Glover,18.92
Jerry Kelly,18.85
Rory McIlroy,18.82
Erik Compton,18.81
Rickie Fowler,18.81
Troy Matteson,18.72
David Lynn,18.69
Jason Bohn,18.57
Tag Ridings,18.54
Jim Furyk,18.32
Steve LeBrun,18.28
Jimmy Walker,18.26
Rod Pampling,18.25
Mike Weir,18.23
Ben Kohles,18.22
George McNeill,18.18
Patrick Reed,18.11
Boo Weekley,18.09
"Ted Potter, Jr.",18.08
David Lingmerth,18.06
Bo Van Pelt,18.06
Kevin Streelman,18.03
Charlie Beljan,18
Jin Park,18
Nick Watney,18
K.J. Choi,17.89
Robert Allenby,17.86
Chad Campbell,17.79
Charles Howell III,17.77
Brian Gay,17.75
Vijay Singh,17.74
Bob Estes,17.57
Martin Laird,17.49
Brendan Steele,17.43
John Huh,17.39
Josh Teater,17.27
Nicolas Colsaerts,17.18
David Mathis,17.11
Matt Kuchar,17.09
Y.E. Yang,17.05
Mark Wilson,17.04
Stuart Appleby,16.91
Tim Clark,16.76
Bryce Molder,16.67
Jeff Overton,16.67
Matt Jones,16.59
Michael Bradley,16.57
Brandt Jobe,16.57
Dicky Pride,16.33
Cameron Percy,16.2
Trevor Immelman,16.16
Padraig Harrington,16.13
Camilo Villegas,16.06
Lee Westwood,15.96
Angel Cabrera,15.95
Geoff Ogilvy,15.92
Jeff Maggert,15.88
Ben Curtis,15.79
John Merrick,15.74
Derek Ernst,15.64
Colt Knost,15.64
J.J. Henry,15.6
Robert Karlsson,15.48
Graeme McDowell,15.44
Kevin Chappell,15.22
Marc Leishman,15.22
Jason Day,15.12
Casey Wittenberg,15.08
Adam Scott,15
Michael Thompson,15
Eric Meierdierks,14.81
Brian Stuard,14.72
Bobby Gates,14.69
Scott Langley,14.08
Luke List,14.02
Justin Bolli,13.97
Ben Crane,13.92
Will Claxton,13.59
Tim Herron,13.16
Lee Williams,12.73
Johnson Wagner,12.24
Darron Stiles,12.08
Tom Gillis,12.06
