PLAYER,AVG.,FASTEST SPEED,SLOWEST SPEED
Charlie Beljan,124.45,130.12,118.77
Bubba Watson,122.97,126.68,119.34
Luke List,122.94,128.84,119.77
Gary Woodland,122.27,126.12,118.41
Dustin Johnson,122,125.71,118.58
Rory McIlroy,121.25,124.72,117.55
Graham DeLaet,120.96,125.05,117.35
Nicolas Colsaerts,120.95,123.38,116.36
Sergio Garcia,120.78,126.18,117.9
Henrik Stenson,120.48,123.18,113.86
Jason Kokrak,120.38,125.63,115.54
Jason Day,120.26,124.1,115.24
Robert Garrigus,120.17,123.82,116.35
Angel Cabrera,120.15,124.53,116.45
Eric Meierdierks,120.08,123.81,113.07
Derek Ernst,119.98,123.49,117.17
Seung-Yul Noh,119.75,122.35,116.52
Nick Watney,119.66,122.44,116.34
Adam Scott,119.63,122.63,117.33
Kyle Stanley,119.62,125.27,113.59
Scott Stallings,119.33,124.96,115.58
Tag Ridings,119.28,122.77,116.16
Bobby Gates,119.27,122.9,104.21
Aaron Baddeley,118.89,122.51,114.32
Keegan Bradley,118.61,120.68,115.59
Jimmy Walker,118.42,122.1,115.06
Martin Flores,118.34,121.67,115.31
Tiger Woods,118.3,121.51,115.13
Robert Streb,118.27,121.27,113.42
Trevor Immelman,118.12,120.92,114.64
Charl Schwartzel,118.11,121.6,115.64
Harris English,118.07,122.26,114.25
Matt Jones,117.81,121,114.63
Pat Perez,117.78,121.17,114.4
Patrick Reed,117.62,121.36,114.66
James Driscoll,117.47,123.16,113.12
Charles Howell III,117.32,122.7,113.93
Martin Kaymer,117.14,121.9,113.59
Greg Owen,117.12,122.55,108.72
Stewart Cink,117.1,122.24,110.36
Lucas Glover,117.03,119.94,113.3
Kevin Chappell,117.01,123.3,113.66
Steven Bowditch,116.94,120.36,114.63
Martin Laird,116.93,119.28,114.13
Sean O'Hair,116.81,121.41,113.61
Shawn Stefani,116.58,121.28,113.99
Ryan Palmer,116.54,119.2,113.47
Charley Hoffman,116.47,120.35,111.19
Scott Piercy,116.43,119.57,112.74
Ricky Barnes,116.33,119.53,112.35
Marc Leishman,116.29,119.85,112.5
Phil Mickelson,116.25,119.67,111.53
George McNeill,116.18,121.5,112.3
Jim Herman,116.12,118.94,113.75
Brendon de Jonge,115.95,120.12,113.44
John Senden,115.84,122.45,112.34
Lee Westwood,115.8,118.74,113.94
Cameron Tringale,115.78,122.62,112.65
Brad Fritsch,115.66,121.53,112.56
Rickie Fowler,115.64,119.47,112.8
Steve LeBrun,115.51,119.19,109.92
John Rollins,115.45,121.04,111.75
Justin Rose,115.15,117.89,112.14
Kevin Stadler,114.94,119.79,109.03
Andres Romero,114.93,118.13,111.8
Bill Haas,114.86,117.49,111.71
Troy Matteson,114.8,117.08,112.11
Ryo Ishikawa,114.55,118.85,111.02
Josh Teater,114.48,118.34,111.26
Brendan Steele,114.43,119.36,110.13
Freddie Jacobson,114.42,117.64,110.57
Boo Weekley,114.39,120.85,111.13
Padraig Harrington,114.38,120.99,111.87
Henrik Norlander,114.33,118.29,111.57
James Hahn,114.3,120.7,111.26
Tom Gillis,114.14,117.41,111.71
Cameron Percy,114.13,117.51,110.36
Morgan Hoffmann,114.12,117.88,109.56
Scott Brown,114.1,118.93,110.66
Geoff Ogilvy,114.08,118.22,106.63
Erik Compton,114.06,118.73,110.75
J.J. Henry,114.04,116.83,110.85
Sangmoon Bae,114,119.68,110.22
Kevin Streelman,114,117.52,105.84
Russell Henley,113.98,118.87,104.71
Brandt Jobe,113.97,115.97,110.24
Michael Bradley,113.93,117.34,111.58
Robert Karlsson,113.88,116.64,110.3
Camilo Villegas,113.77,116.71,110.63
Carl Pettersson,113.71,119.86,110.9
Jeff Overton,113.58,117.1,109.93
Webb Simpson,113.56,116.75,109.7
D.J. Trahan,113.5,117.13,107.52
Rory Sabbatini,113.39,116.54,110.23
Chad Campbell,113.29,117.3,110.18
Matt Every,113.24,117.98,109.33
Nicholas Thompson,113.22,116.69,108.61
Peter Hanson,113.18,117.9,109.9
John Merrick,113.18,115.37,110.12
Bo Van Pelt,113.13,116.13,109.99
Billy Horschel,113.08,116.73,108.48
Luke Guthrie,112.94,115.82,109.83
Tommy Gainey,112.79,116.38,107.97
Roberto Castro,112.56,115.42,109.37
Chris Kirk,112.55,116.77,108.32
Hunter Mahan,112.42,118.75,109.99
Fabian Gomez,112.41,118.77,108.86
Scott Gardiner,112.39,117.17,107.41
Stuart Appleby,112.35,115.11,107.49
Jason Dufner,112.32,117.6,106.87
Ian Poulter,112.26,115.88,109.01
Andrew Svoboda,112.25,115.68,108.46
Jonas Blixt,112.05,116.47,107.86
Robert Allenby,111.98,115.34,106.14
Jordan Spieth,111.93,114.61,109.23
Vijay Singh,111.92,115.57,108.6
Tim Herron,111.9,115.52,109.08
Alistair Presnell,111.83,115.38,108.75
Ernie Els,111.79,114.96,108.69
Michael Thompson,111.62,115.58,108.07
Daniel Summerhays,111.56,115.21,107.75
Y.E. Yang,111.47,115.4,107.67
Rod Pampling,111.43,114.17,108.19
David Lingmerth,111.39,114.29,108.18
Bob Estes,111.09,113.75,107.18
Steve Stricker,111.06,113.65,109.12
William McGirt,111,113.85,108.03
Brian Harman,110.83,114.19,107.2
Ryan Moore,110.79,115.45,107.36
Will Claxton,110.78,114.58,107.03
John Huh,110.76,114.41,105.6
Bud Cauley,110.74,115.39,106.64
Matt Kuchar,110.7,113.74,108.11
Brandt Snedeker,110.59,113.75,107.68
Johnson Wagner,110.53,116.7,106.56
"Ted Potter, Jr.",110.49,112.61,108.22
Ken Duke,110.46,114.41,105.68
Stephen Ames,110.39,113.72,107.68
Richard Lee,110.38,115.84,105.94
Luke Donald,110.27,113.44,107.72
Graeme McDowell,110.22,114.38,106.92
Ben Kohles,110.17,114.71,107.2
Vaughn Taylor,110.17,114.37,106.65
D.H. Lee,110.1,114.9,103.55
Chris Stroud,109.81,114.56,107.23
Justin Hicks,109.71,112.18,104.92
Jim Furyk,109.62,114.67,105.53
D.A. Points,109.54,113.85,103.91
Greg Chalmers,109.44,116.03,104.37
Brian Stuard,109.39,112.51,106.74
Casey Wittenberg,109.39,114.02,105.88
K.J. Choi,109.38,113.29,106.46
Charlie Wi,109.33,115.39,105.64
Mike Weir,109.06,112,106.05
