PLAYER,ONE PUTT PCT
Brian Gay,45.71
Aaron Baddeley,45.37
Mike Weir,43.97
Greg Chalmers,43.61
Chris Kirk,43.51
Brandt Snedeker,42.76
Vaughn Taylor,42.75
Charlie Wi,42.72
Steven Bowditch,42.48
Jonas Blixt,42.32
Phil Mickelson,42.31
Bryce Molder,42.08
Stephen Ames,42.06
Patrick Reed,41.97
Luke Donald,41.86
Chris Stroud,41.86
Freddie Jacobson,41.85
Jason Day,41.74
David Hearn,41.73
Justin Leonard,41.73
Sangmoon Bae,41.63
Peter Hanson,41.6
Andres Romero,41.53
Bob Estes,41.5
Brian Davis,41.45
Charles Howell III,41.44
Rory McIlroy,41.41
James Driscoll,41.28
Jordan Spieth,41.19
Steve Stricker,41.13
Matt Kuchar,41.06
Ben Crane,41
Rickie Fowler,40.99
Jeff Overton,40.95
David Lingmerth,40.93
Morgan Hoffmann,40.89
Luke Guthrie,40.79
Matt Every,40.76
Tiger Woods,40.74
Ryan Palmer,40.72
Scott Stallings,40.65
Doug LaBelle II,40.56
Erik Compton,40.54
Martin Flores,40.5
Matt Jones,40.5
Harris English,40.35
Jimmy Walker,40.34
Brian Harman,40.33
Aaron Watkins,40.28
David Lynn,40.26
Tom Gillis,40.17
Jason Kokrak,40.1
Russell Henley,40.03
Tim Herron,40
Jin Park,40
Stuart Appleby,39.95
Jason Bohn,39.92
Lee Williams,39.91
Justin Bolli,39.8
Tim Clark,39.8
Colt Knost,39.74
"Ted Potter, Jr.",39.71
Darron Stiles,39.68
Casey Wittenberg,39.68
Ken Duke,39.66
Daniel Summerhays,39.63
Charley Hoffman,39.62
Fabian Gomez,39.57
Camilo Villegas,39.56
Richard Lee,39.54
Jeff Maggert,39.51
Ryan Moore,39.51
Shawn Stefani,39.51
Jerry Kelly,39.48
William McGirt,39.41
Billy Horschel,39.35
Graeme McDowell,39.34
Ian Poulter,39.31
Alistair Presnell,39.28
Scott Langley,39.26
Cameron Percy,39.23
Tommy Gainey,39.22
D.A. Points,39.21
Rory Sabbatini,39.16
Sergio Garcia,39.15
Webb Simpson,39.08
Charl Schwartzel,39.05
Marc Leishman,39.03
David Toms,39.02
Roberto Castro,39
D.H. Lee,38.97
K.J. Choi,38.96
Luke List,38.89
Cameron Tringale,38.89
Keegan Bradley,38.83
James Hahn,38.81
Robert Karlsson,38.78
Carl Pettersson,38.61
Jason Dufner,38.6
Y.E. Yang,38.59
Padraig Harrington,38.55
Geoff Ogilvy,38.4
Ernie Els,38.35
Brad Fritsch,38.31
Dicky Pride,38.31
Kevin Streelman,38.31
Scott Piercy,38.3
Kevin Chappell,38.26
Scott Brown,38.21
Lee Westwood,38.16
Brendon de Jonge,38.13
Chez Reavie,38.12
Tag Ridings,38.03
Brian Stuard,37.99
Nicholas Thompson,37.99
Robert Streb,37.95
Michael Thompson,37.88
Dustin Johnson,37.78
Pat Perez,37.76
Seung-Yul Noh,37.73
Jim Furyk,37.68
Brendan Steele,37.67
Gary Woodland,37.65
George McNeill,37.58
Bill Haas,37.57
Martin Laird,37.5
Justin Rose,37.41
Josh Teater,37.4
John Merrick,37.27
Zach Johnson,37.15
John Rollins,37.14
Hunter Mahan,37.12
Troy Matteson,37.04
Steve LeBrun,37.01
Graham DeLaet,37
Ben Curtis,36.94
D.J. Trahan,36.84
Robert Allenby,36.81
Ben Kohles,36.78
Kevin Stadler,36.71
Bo Van Pelt,36.67
Rod Pampling,36.64
Johnson Wagner,36.57
Scott Gardiner,36.53
John Huh,36.49
Chad Campbell,36.48
Bubba Watson,36.45
Henrik Stenson,36.37
Bud Cauley,36.33
Andrew Svoboda,36.24
Justin Hicks,36.22
Brandt Jobe,36.11
David Mathis,36.07
Henrik Norlander,36.03
Bobby Gates,35.93
Angel Cabrera,35.92
Greg Owen,35.92
Adam Scott,35.83
Nick Watney,35.79
Mark Wilson,35.79
Sean O'Hair,35.71
Charlie Beljan,35.66
Martin Kaymer,35.63
Trevor Immelman,35.59
Robert Garrigus,35.47
Derek Ernst,35.34
Stewart Cink,35.29
Michael Bradley,35.26
John Senden,35.26
Ryo Ishikawa,35.24
Boo Weekley,35.17
Kyle Stanley,35.05
Will Claxton,34.83
Ricky Barnes,34.76
Jim Herman,34.65
J.J. Henry,34.16
Lucas Glover,33.59
Eric Meierdierks,32.85
Nicolas Colsaerts,32.15
Vijay Singh,31.33
