PLAYER,PAR 5
Keegan Bradley,4.51
Steve Stricker,4.52
Matt Kuchar,4.54
Sergio Garcia,4.57
Rory Sabbatini,4.57
Henrik Stenson,4.57
Tiger Woods,4.57
Roberto Castro,4.58
Peter Hanson,4.58
Charl Schwartzel,4.58
Adam Scott,4.58
Brendon de Jonge,4.59
Graham DeLaet,4.59
Kevin Stadler,4.59
Steven Bowditch,4.6
Jason Day,4.6
Jason Kokrak,4.6
Phil Mickelson,4.6
Ryan Palmer,4.6
Justin Rose,4.6
Vaughn Taylor,4.6
Boo Weekley,4.6
Aaron Baddeley,4.61
Chad Campbell,4.61
James Hahn,4.61
Charley Hoffman,4.61
Dustin Johnson,4.61
Brandt Snedeker,4.61
Daniel Summerhays,4.61
Andrew Svoboda,4.61
Bubba Watson,4.61
Ernie Els,4.62
Rickie Fowler,4.62
Billy Horschel,4.62
Henrik Norlander,4.62
Patrick Reed,4.62
Webb Simpson,4.62
Jordan Spieth,4.62
Cameron Tringale,4.62
Harris English,4.63
Matt Jones,4.63
Hunter Mahan,4.63
Jimmy Walker,4.63
Bud Cauley,4.64
Luke Guthrie,4.64
D.H. Lee,4.64
Luke List,4.64
Bryce Molder,4.64
Kevin Streelman,4.64
Stewart Cink,4.65
Martin Flores,4.65
Jim Herman,4.65
John Senden,4.65
Camilo Villegas,4.65
Nick Watney,4.65
Greg Chalmers,4.66
Nicolas Colsaerts,4.66
Charles Howell III,4.66
Martin Kaymer,4.66
Ryan Moore,4.66
Sean O'Hair,4.66
John Rollins,4.66
Kyle Stanley,4.66
Mark Wilson,4.66
Ben Crane,4.67
Brad Fritsch,4.67
Fabian Gomez,4.67
Scott Langley,4.67
Justin Leonard,4.67
William McGirt,4.67
John Merrick,4.67
Cameron Percy,4.67
Scott Piercy,4.67
Scott Stallings,4.67
Brendan Steele,4.67
D.J. Trahan,4.67
Gary Woodland,4.67
Kevin Chappell,4.68
K.J. Choi,4.68
Luke Donald,4.68
Freddie Jacobson,4.68
Zach Johnson,4.68
Doug LaBelle II,4.68
Jin Park,4.68
D.A. Points,4.68
Alistair Presnell,4.68
Shawn Stefani,4.68
Robert Streb,4.68
Chris Stroud,4.68
Aaron Watkins,4.68
Scott Brown,4.69
Tim Clark,4.69
Will Claxton,4.69
Jerry Kelly,4.69
Chris Kirk,4.69
Colt Knost,4.69
Steve LeBrun,4.69
Rory McIlroy,4.69
George McNeill,4.69
Eric Meierdierks,4.69
Andres Romero,4.69
Stephen Ames,4.7
Jason Bohn,4.7
Bob Estes,4.7
Jim Furyk,4.7
Russell Henley,4.7
Morgan Hoffmann,4.7
Brandt Jobe,4.7
Robert Karlsson,4.7
Pat Perez,4.7
Brian Stuard,4.7
Josh Teater,4.7
Mike Weir,4.7
Jonas Blixt,4.71
Matt Every,4.71
Lucas Glover,4.71
Bill Haas,4.71
Richard Lee,4.71
Jeff Overton,4.71
Greg Owen,4.71
Rod Pampling,4.71
Michael Thompson,4.71
Lee Williams,4.71
Y.E. Yang,4.71
Brian Davis,4.72
Ben Kohles,4.72
Marc Leishman,4.72
David Lingmerth,4.72
Tag Ridings,4.72
Bo Van Pelt,4.72
Charlie Beljan,4.73
Jason Dufner,4.73
Robert Garrigus,4.73
David Hearn,4.73
J.J. Henry,4.73
John Huh,4.73
Jeff Maggert,4.73
Ian Poulter,4.73
Dicky Pride,4.73
Nicholas Thompson,4.73
Lee Westwood,4.73
Ricky Barnes,4.74
Tom Gillis,4.74
Brian Harman,4.74
Padraig Harrington,4.74
Tim Herron,4.74
Martin Laird,4.74
David Lynn,4.74
David Mathis,4.74
Troy Matteson,4.74
Chez Reavie,4.74
Darron Stiles,4.74
Stuart Appleby,4.75
Sangmoon Bae,4.75
Michael Bradley,4.75
Angel Cabrera,4.75
Trevor Immelman,4.75
Graeme McDowell,4.75
Carl Pettersson,4.75
"Ted Potter, Jr.",4.75
Vijay Singh,4.75
Charlie Wi,4.75
Erik Compton,4.76
Ken Duke,4.76
Derek Ernst,4.76
Justin Hicks,4.76
Casey Wittenberg,4.77
Tommy Gainey,4.78
Scott Gardiner,4.78
Ryo Ishikawa,4.78
Seung-Yul Noh,4.78
David Toms,4.78
James Driscoll,4.79
Brian Gay,4.8
Johnson Wagner,4.83
Robert Allenby,4.84
Justin Bolli,4.84
Ben Curtis,4.84
Bobby Gates,4.86
Geoff Ogilvy,4.89
