PLAYER,prox to hole
Jim Furyk,31.3
Justin Rose,32.2
Jeff Maggert,32.3
Camilo Villegas,32.8
Chez Reavie,32.9
Chris Kirk,32.11
Rory Sabbatini,33
Jordan Spieth,33
Ken Duke,33.1
Vijay Singh,33.1
David Toms,33.1
K.J. Choi,33.2
Brandt Snedeker,33.2
Kevin Stadler,33.2
Darron Stiles,33.3
Graham DeLaet,33.4
Kevin Streelman,33.4
Brad Fritsch,33.6
Zach Johnson,33.6
Nicholas Thompson,33.6
Y.E. Yang,33.6
Ben Kohles,33.7
Graeme McDowell,33.7
Brian Stuard,33.7
Bo Van Pelt,33.7
Brian Davis,33.8
Justin Hicks,33.8
David Lingmerth,33.8
Ryan Palmer,33.8
Brendon de Jonge,33.9
Tim Clark,33.1
Bob Estes,33.1
George McNeill,33.1
Steve Stricker,33.1
Nick Watney,33.1
Roberto Castro,33.11
Scott Langley,33.11
Tiger Woods,33.11
Jason Bohn,34
Bud Cauley,34
Kevin Chappell,34
Stewart Cink,34
Matt Kuchar,34
Chad Campbell,34.1
Matt Every,34.1
James Hahn,34.1
Webb Simpson,34.1
Boo Weekley,34.1
Ricky Barnes,34.2
Luke Donald,34.2
Jerry Kelly,34.2
Bryce Molder,34.2
Charl Schwartzel,34.2
Adam Scott,34.2
Robert Allenby,34.3
Nicolas Colsaerts,34.3
Jason Dufner,34.3
Brian Gay,34.3
Dustin Johnson,34.3
Steve LeBrun,34.3
John Merrick,34.3
Lee Westwood,34.3
Mark Wilson,34.3
Brandt Jobe,34.4
Ian Poulter,34.4
Ernie Els,34.5
Vaughn Taylor,34.5
Fabian Gomez,34.6
David Hearn,34.6
D.J. Trahan,34.6
Russell Henley,34.7
Charley Hoffman,34.7
Freddie Jacobson,34.7
Greg Owen,34.7
Pat Perez,34.7
Daniel Summerhays,34.7
Stuart Appleby,34.8
Carl Pettersson,34.8
Gary Woodland,34.8
Rickie Fowler,34.9
Luke Guthrie,34.9
"Ted Potter, Jr.",34.9
Morgan Hoffmann,34.1
Richard Lee,34.1
John Rollins,34.1
Michael Bradley,34.11
Robert Karlsson,34.11
Dicky Pride,34.11
Robert Garrigus,35
Lucas Glover,35
David Mathis,35
Ryan Moore,35
Lee Williams,35
Ryo Ishikawa,35.1
Jason Kokrak,35.1
Colt Knost,35.2
Phil Mickelson,35.2
Kyle Stanley,35.2
Chris Stroud,35.2
Josh Teater,35.2
Sangmoon Bae,35.3
Billy Horschel,35.3
Bubba Watson,35.3
Keegan Bradley,35.4
Martin Flores,35.4
Bill Haas,35.5
Jim Herman,35.5
John Huh,35.5
Martin Kaymer,35.5
David Lynn,35.5
D.A. Points,35.5
Tag Ridings,35.5
Brendan Steele,35.5
Peter Hanson,35.6
Scott Stallings,35.6
Jimmy Walker,35.6
Will Claxton,35.7
Matt Jones,35.7
D.H. Lee,35.7
Rory McIlroy,35.7
Harris English,35.8
Scott Gardiner,35.8
Henrik Norlander,35.8
Charlie Wi,35.8
James Driscoll,35.9
Tom Gillis,35.9
Trevor Immelman,35.9
Justin Leonard,35.9
Erik Compton,35.1
Henrik Stenson,35.1
Ben Crane,35.11
Cameron Percy,35.11
Scott Piercy,35.11
Sergio Garcia,36
J.J. Henry,36.1
Michael Thompson,36.1
Justin Bolli,36.2
Tommy Gainey,36.2
Hunter Mahan,36.2
Patrick Reed,36.2
Jason Day,36.4
Brian Harman,36.4
Troy Matteson,36.4
Jeff Overton,36.4
Rod Pampling,36.4
Jin Park,36.4
Cameron Tringale,36.4
William McGirt,36.5
Shawn Stefani,36.5
Stephen Ames,36.6
Eric Meierdierks,36.6
Geoff Ogilvy,36.6
Derek Ernst,36.7
Padraig Harrington,36.7
Martin Laird,36.7
Aaron Watkins,36.7
Casey Wittenberg,36.7
Ben Curtis,36.8
Alistair Presnell,36.8
Charlie Beljan,36.9
Greg Chalmers,36.9
Robert Streb,36.9
Scott Brown,36.1
Marc Leishman,36.1
Charles Howell III,37
John Senden,37
Andrew Svoboda,37.1
Seung-Yul Noh,37.3
Mike Weir,37.4
Doug LaBelle II,37.8
Jonas Blixt,37.9
Tim Herron,37.9
Angel Cabrera,37.11
Bobby Gates,37.11
Johnson Wagner,38
Sean O'Hair,38.2
Steven Bowditch,38.3
Luke List,38.1
Andres Romero,39
Aaron Baddeley,39.3
