PLAYER,Putts per round
Brian Gay,27.51
Aaron Baddeley,27.8
Greg Chalmers,28.01
Mike Weir,28.07
Luke Donald,28.21
Chris Kirk,28.26
Charlie Wi,28.34
Brian Davis,28.38
Justin Leonard,28.38
Brandt Snedeker,28.38
Jonas Blixt,28.39
Bryce Molder,28.4
Chris Stroud,28.4
Bob Estes,28.41
Steven Bowditch,28.48
David Hearn,28.48
Freddie Jacobson,28.5
James Driscoll,28.51
Stephen Ames,28.53
Brian Harman,28.54
Phil Mickelson,28.56
Andres Romero,28.58
Patrick Reed,28.6
Vaughn Taylor,28.61
Jason Day,28.63
Matt Kuchar,28.64
Rickie Fowler,28.65
Charles Howell III,28.66
Peter Hanson,28.67
Morgan Hoffmann,28.67
Jordan Spieth,28.68
Steve Stricker,28.68
David Lynn,28.7
Stuart Appleby,28.71
Daniel Summerhays,28.72
Aaron Watkins,28.75
Jeff Overton,28.77
Colt Knost,28.78
Jason Bohn,28.79
Sangmoon Bae,28.8
James Hahn,28.8
Tim Herron,28.82
Lee Williams,28.82
Ian Poulter,28.83
Jerry Kelly,28.84
Ryan Palmer,28.84
Rory McIlroy,28.85
Tiger Woods,28.85
Jimmy Walker,28.87
David Lingmerth,28.88
William McGirt,28.88
Tim Clark,28.89
Matt Jones,28.89
Doug LaBelle II,28.9
Ken Duke,28.92
Martin Flores,28.92
Sergio Garcia,28.92
Webb Simpson,28.93
Keegan Bradley,28.94
Russell Henley,28.94
Harris English,28.95
Jason Kokrak,28.96
Fabian Gomez,28.97
Ben Crane,28.98
Ernie Els,28.98
Scott Stallings,29
Shawn Stefani,29
Casey Wittenberg,29
Erik Compton,29.01
Matt Every,29.01
Charl Schwartzel,29.01
Tom Gillis,29.02
David Toms,29.02
Scott Brown,29.03
Chez Reavie,29.03
Graeme McDowell,29.04
Darron Stiles,29.04
Charley Hoffman,29.05
Richard Lee,29.05
Tommy Gainey,29.07
Luke Guthrie,29.07
Dicky Pride,29.07
Scott Langley,29.08
Carl Pettersson,29.08
D.A. Points,29.08
Justin Bolli,29.09
Cameron Tringale,29.09
Brendon de Jonge,29.1
"Ted Potter, Jr.",29.1
Troy Matteson,29.11
Y.E. Yang,29.11
K.J. Choi,29.12
Scott Piercy,29.12
Camilo Villegas,29.13
Billy Horschel,29.14
Cameron Percy,29.14
Ryan Moore,29.18
Michael Thompson,29.18
D.H. Lee,29.23
Roberto Castro,29.24
Padraig Harrington,29.24
Jin Park,29.24
Marc Leishman,29.25
Jeff Maggert,29.25
Bill Haas,29.27
John Merrick,29.27
Robert Streb,29.27
Rory Sabbatini,29.28
Justin Rose,29.3
Jim Furyk,29.31
Tag Ridings,29.31
Brian Stuard,29.31
Ben Kohles,29.32
Kevin Streelman,29.33
Brad Fritsch,29.34
Gary Woodland,29.34
Zach Johnson,29.35
Pat Perez,29.35
John Rollins,29.36
Alistair Presnell,29.37
Luke List,29.39
Jason Dufner,29.4
Dustin Johnson,29.4
George McNeill,29.4
Hunter Mahan,29.41
Lee Westwood,29.42
Bud Cauley,29.44
Kevin Chappell,29.44
Josh Teater,29.46
Rod Pampling,29.48
Brendan Steele,29.49
Martin Laird,29.5
Kevin Stadler,29.51
Seung-Yul Noh,29.52
Adam Scott,29.52
Chad Campbell,29.58
Bobby Gates,29.58
Nicholas Thompson,29.58
Bo Van Pelt,29.59
Robert Garrigus,29.62
Graham DeLaet,29.63
Robert Allenby,29.64
John Huh,29.64
Scott Gardiner,29.66
Ben Curtis,29.67
Robert Karlsson,29.67
D.J. Trahan,29.67
Brandt Jobe,29.69
Mark Wilson,29.69
Andrew Svoboda,29.7
Steve LeBrun,29.71
Angel Cabrera,29.73
David Mathis,29.73
Henrik Norlander,29.75
Sean O'Hair,29.75
Ryo Ishikawa,29.81
Geoff Ogilvy,29.82
Johnson Wagner,29.82
Greg Owen,29.85
Bubba Watson,29.85
Derek Ernst,29.86
Justin Hicks,29.89
Henrik Stenson,29.91
Trevor Immelman,29.94
John Senden,29.96
Charlie Beljan,29.98
Stewart Cink,29.99
Nick Watney,29.99
J.J. Henry,30
Martin Kaymer,30
Boo Weekley,30.13
Will Claxton,30.14
Michael Bradley,30.17
Jim Herman,30.22
Ricky Barnes,30.29
Kyle Stanley,30.45
Lucas Glover,30.51
Eric Meierdierks,30.52
Nicolas Colsaerts,30.74
Vijay Singh,30.89
