POS,PLAYER
1,Adam Scott
2,Angel Cabrera
3,Jason Day
4,Tiger Woods
4,Marc Leishman
6,Thorbjorn Olesen
6,Brandt Snedeker
8,Sergio Garcia
8,Lee Westwood
8,Matt Kuchar
11,John Huh
11,Tim Clark
13,David Toms
13,Ernie Els
13,Dustin Johnson
13,Fred Couples
13,Nick Watney
18,Henrik Stenson
18,Branden Grace
20,Bill Haas
20,Jason Dufner
20,Gonzalo Fernandez-Castano
20,Bo Van Pelt
20,Steve Stricker
25,Michael Thompson
25,Rory McIlroy
25,Richard Sterne
25,Stewart Cink
25,Luke Donald
25,Charl Schwartzel
25,Freddie Jacobson
25,Justin Rose
25,Jim Furyk
25,Bernhard Langer
35,Martin Kaymer
35,John Senden
35,Zach Johnson
38,Ryan Moore
38,Ryo Ishikawa
38,Paul Lawrie
38,Vijay Singh
38,Brian Gay
38,D.A. Points
38,Robert Garrigus
38,Rickie Fowler
46,Thomas Bjorn
46,David Lynn
46,K.J. Choi
49,Lucas Glover
50,Peter Hanson
50,Trevor Immelman
50,Jose Maria Olazabal
50,Bubba Watson
54,Keegan Bradley
54,Sandy Lyle
54,Phil Mickelson
54,Scott Piercy
58,Guan Tianlang
59,Kevin Na
60,John Peterson
61,Carl Pettersson
62,Martin Laird
63,Jamie Donaldson
64,George Coetzee
65,Matteo Manassero
66,Y.E. Yang
67,Larry Mize
68,Ted Potter Jr.
69,Webb Simpson
70,Graeme McDowell
71,Louis Oosthuizen
72,John Merrick
73,Ben Curtis
74,Mark O'Meara
75,Mike Weir
76,Nicolas Colsaerts
77,Ian Poulter
78,Michael Weaver
79,T.J. Vogel
80,Thaworn Wiratchant
81,Russell Henley
82,Kevin Streelman
83,Padraig Harrington
84,Francesco Molinari
85,Nathan Smith
86,Tom Watson
87,Steven Fox
88,Craig Stadler
89,Hunter Mahan
90,Ian Woosnam
91,Alan Dunbar
92,Ben Crenshaw
93,Hiroyuki Fujita
