PLAYER,SAND SAVE PERCENTAGE
K.J. Choi,67.18
Steven Bowditch,64.91
Matt Kuchar,64.9
Lee Williams,63.64
Casey Wittenberg,63.3
Ben Crane,63.11
Tom Gillis,62.61
Kevin Chappell,61.74
Stuart Appleby,61.72
Cameron Tringale,61.47
Jason Day,61.36
Peter Hanson,61.02
Michael Thompson,60.87
Tiger Woods,60.82
Brandt Snedeker,60.48
Rickie Fowler,60.34
Bob Estes,59.8
Patrick Reed,59.71
Shawn Stefani,59.48
Justin Rose,59.26
Brian Gay,59.09
Jin Park,58.97
Darron Stiles,58.97
Greg Chalmers,58.87
Brad Fritsch,58.7
Luke List,58.33
Mike Weir,58.26
Cameron Percy,58.16
Ian Poulter,57.14
Jason Bohn,56.88
David Lynn,56.86
Andres Romero,56.45
William McGirt,56.41
David Toms,56.36
Martin Flores,56.3
Keegan Bradley,56.25
Doug LaBelle II,56.06
Luke Donald,55.81
Matt Jones,55.73
Phil Mickelson,55.65
Robert Karlsson,55.56
Webb Simpson,55.56
Richard Lee,55.47
Brian Davis,55.42
Jim Furyk,55.37
Lee Westwood,55
Charlie Wi,55
Bryce Molder,54.81
Alistair Presnell,54.74
Jimmy Walker,54.74
Steve Stricker,54.72
James Driscoll,54.26
Jonas Blixt,54.23
Camilo Villegas,54.21
Roberto Castro,53.96
Brendon de Jonge,53.9
Adam Scott,53.85
Jason Kokrak,53.62
Colt Knost,53.47
Stewart Cink,53.4
Brendan Steele,53.17
Billy Horschel,53.07
Stephen Ames,53.01
Graeme McDowell,52.86
Harris English,52.74
Matt Every,52.74
Jerry Kelly,52.68
David Lingmerth,52.63
Rod Pampling,52.46
Charles Howell III,52.38
Tag Ridings,52.38
John Huh,52.27
Padraig Harrington,52.05
Tim Clark,52.04
Nicholas Thompson,52
Aaron Baddeley,51.94
Tommy Gainey,51.82
John Rollins,51.64
Jordan Spieth,51.64
Chris Stroud,51.63
Jason Dufner,51.55
Henrik Norlander,51.49
Tim Herron,51.28
Charley Hoffman,51.06
Freddie Jacobson,50.98
Ryan Moore,50.94
Bill Haas,50.82
Vaughn Taylor,50.67
Charl Schwartzel,50.66
Mark Wilson,50.57
Troy Matteson,50.51
Dicky Pride,50.44
Greg Owen,50.43
Justin Leonard,50.39
Scott Stallings,50.34
Erik Compton,50
Sergio Garcia,50
Morgan Hoffmann,50
George McNeill,50
Kevin Stadler,50
Brian Stuard,50
Sangmoon Bae,49.65
Russell Henley,49.65
Boo Weekley,49.65
Chez Reavie,49.61
Robert Allenby,49.51
Ernie Els,49.44
Chris Kirk,49.23
Graham DeLaet,48.85
Eric Meierdierks,48.78
Chad Campbell,48.65
Vijay Singh,48.6
Hunter Mahan,48.53
Martin Laird,48.33
Jeff Maggert,48.31
Kevin Streelman,48.25
Fabian Gomez,48.21
Rory Sabbatini,47.93
Trevor Immelman,47.92
Ryo Ishikawa,47.9
Aaron Watkins,47.83
Sean O'Hair,47.67
Bud Cauley,47.57
Scott Gardiner,47.46
Charlie Beljan,47.42
D.H. Lee,47.22
Josh Teater,47.14
D.A. Points,47.1
Justin Bolli,46.88
Brandt Jobe,46.6
Scott Langley,46.53
James Hahn,46.36
Carl Pettersson,46.26
Henrik Stenson,46.24
Marc Leishman,46.15
Bubba Watson,46.08
Jeff Overton,45.99
Martin Kaymer,45.98
Steve LeBrun,45.98
Luke Guthrie,45.93
Johnson Wagner,45.28
Brian Harman,45.14
Ryan Palmer,44.96
Daniel Summerhays,44.68
Ricky Barnes,44.44
Zach Johnson,44.44
Geoff Ogilvy,44.34
John Merrick,44.26
Seung-Yul Noh,44.23
Y.E. Yang,44.14
Pat Perez,44.09
Nick Watney,44.07
John Senden,43.75
Ken Duke,43.66
David Mathis,43.64
Bobby Gates,43.62
J.J. Henry,43.36
Rory McIlroy,43.33
Lucas Glover,43.12
Robert Streb,43.09
"Ted Potter, Jr.",43.01
Jim Herman,42.86
Ben Kohles,42.86
Dustin Johnson,42.72
Michael Bradley,42.5
Ben Curtis,42.05
Scott Piercy,41.73
David Hearn,40.6
Gary Woodland,40.3
Robert Garrigus,39.09
Scott Brown,38.94
Justin Hicks,38.83
Kyle Stanley,38.18
Angel Cabrera,36.94
Derek Ernst,36.84
Will Claxton,36
Bo Van Pelt,33.93
Nicolas Colsaerts,33.33
D.J. Trahan,33.33
Andrew Svoboda,29.51
