PLAYER,SCORING AVG
Steve Stricker,68.893
Tiger Woods,68.944
Justin Rose,69.225
Henrik Stenson,69.248
Adam Scott,69.3
Sergio Garcia,69.543
Matt Kuchar,69.561
Charl Schwartzel,69.651
Jordan Spieth,69.668
Keegan Bradley,69.724
Jason Day,69.732
Phil Mickelson,69.742
Webb Simpson,69.783
Brandt Snedeker,69.791
Luke Donald,69.793
Jim Furyk,69.828
Jason Dufner,69.912
Bill Haas,70.023
Zach Johnson,70.073
Graham DeLaet,70.089
Hunter Mahan,70.106
Freddie Jacobson,70.108
Dustin Johnson,70.115
Brendon de Jonge,70.154
Lee Westwood,70.158
Ryan Palmer,70.167
Chris Kirk,70.206
Rickie Fowler,70.212
Billy Horschel,70.244
Matt Jones,70.245
Kevin Streelman,70.267
Charles Howell III,70.272
Bubba Watson,70.276
Rory McIlroy,70.288
K.J. Choi,70.322
Jimmy Walker,70.332
Bob Estes,70.361
Peter Hanson,70.368
Ian Poulter,70.382
Harris English,70.438
Ernie Els,70.491
Roberto Castro,70.494
Charley Hoffman,70.497
Graeme McDowell,70.503
Rory Sabbatini,70.511
Bryce Molder,70.52
Jerry Kelly,70.522
Marc Leishman,70.532
Chris Stroud,70.546
Martin Kaymer,70.559
Russell Henley,70.57
Camilo Villegas,70.586
Chez Reavie,70.6
Boo Weekley,70.611
Morgan Hoffmann,70.613
"Ted Potter, Jr.",70.615
Kevin Stadler,70.632
Stewart Cink,70.633
Martin Flores,70.676
Brian Davis,70.69
Tim Clark,70.693
Cameron Tringale,70.724
Gary Woodland,70.733
John Merrick,70.736
David Hearn,70.738
John Huh,70.758
John Rollins,70.779
Nick Watney,70.78
Patrick Reed,70.807
Daniel Summerhays,70.813
Ryan Moore,70.825
Stuart Appleby,70.834
Pat Perez,70.835
Justin Leonard,70.863
Jeff Overton,70.863
Ben Crane,70.864
Brian Stuard,70.869
George McNeill,70.876
James Driscoll,70.888
Angel Cabrera,70.897
Vaughn Taylor,70.897
Josh Teater,70.904
Richard Lee,70.912
Mark Wilson,70.916
Nicholas Thompson,70.92
Jason Kokrak,70.924
Kevin Chappell,70.927
John Senden,70.97
J.J. Henry,70.992
Vijay Singh,70.995
David Lingmerth,70.996
William McGirt,71
Erik Compton,71.011
David Lynn,71.016
Padraig Harrington,71.017
Matt Every,71.023
Ken Duke,71.025
Martin Laird,71.029
Jim Herman,71.045
Brendan Steele,71.053
Robert Garrigus,71.058
Bo Van Pelt,71.08
Brad Fritsch,71.085
Nicolas Colsaerts,71.088
Robert Streb,71.089
Jason Bohn,71.101
Cameron Percy,71.106
Jonas Blixt,71.11
Sangmoon Bae,71.111
Shawn Stefani,71.114
D.A. Points,71.116
David Toms,71.134
Scott Stallings,71.135
Justin Hicks,71.138
Luke Guthrie,71.139
Brian Gay,71.16
Tag Ridings,71.162
Charlie Wi,71.174
Brandt Jobe,71.175
D.H. Lee,71.187
Jeff Maggert,71.208
James Hahn,71.222
Greg Chalmers,71.228
Chad Campbell,71.234
Scott Brown,71.25
Andres Romero,71.256
Scott Langley,71.269
Carl Pettersson,71.273
Scott Piercy,71.273
Brian Harman,71.29
Dicky Pride,71.293
Michael Thompson,71.298
Doug LaBelle II,71.317
Fabian Gomez,71.33
Steven Bowditch,71.335
Ricky Barnes,71.341
Y.E. Yang,71.348
Henrik Norlander,71.36
D.J. Trahan,71.429
Bud Cauley,71.445
Stephen Ames,71.454
Tim Herron,71.479
Robert Karlsson,71.482
Ben Kohles,71.488
Trevor Immelman,71.491
Aaron Baddeley,71.503
Ryo Ishikawa,71.515
Ben Curtis,71.531
Steve LeBrun,71.551
Greg Owen,71.554
Tom Gillis,71.559
Lucas Glover,71.577
Geoff Ogilvy,71.588
Seung-Yul Noh,71.625
Mike Weir,71.643
Casey Wittenberg,71.659
Andrew Svoboda,71.747
Aaron Watkins,71.77
Jin Park,71.777
Lee Williams,71.792
Charlie Beljan,71.839
Kyle Stanley,71.842
Will Claxton,71.889
Troy Matteson,71.889
Tommy Gainey,71.892
Rod Pampling,71.943
Darron Stiles,71.947
Alistair Presnell,71.951
Johnson Wagner,72.013
Justin Bolli,72.034
Robert Allenby,72.056
Scott Gardiner,72.082
Sean O'Hair,72.107
David Mathis,72.222
Colt Knost,72.264
Derek Ernst,72.271
Michael Bradley,72.345
Eric Meierdierks,72.414
Luke List,72.444
Bobby Gates,72.59
