RK,PLAYER,AGE,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.
1,Bill Haas,33,291.9,62.9,73,68.6,1.778,62.1
2,Mike Weir,46,271.2,52.8,176,57.4,1.774,61.9
3,Vijay Singh,53,289.7,60.7,89,65.4,1.816,61.4
4,Phil Mickelson,45,292.4,58,70,65.3,1.753,61.3
5,Charlie Wi,44,281,57.7,146,60.9,1.79,61
6,Tim Clark,40,272.2,74,174,64.3,1.755,61
7,Justin Leonard,43,270.3,65,177,57.8,1.758,60.6
8,Seung-yul Noh,24,296.5,55,40,67,1.777,60.3
9,Jonas Blixt,32,286.1,56.2,117,61.1,1.767,59.3
10,Brian Gay,44,271.6,62,175,59.2,1.78,59.2
,Heath Slocum,42,277.8,72.4,166,67.3,1.812,59.2
12,Retief Goosen,47,288.8,55.9,96,63.6,1.788,59.2
13,John Senden,45,288.9,64.2,95,67.8,1.769,59
14,Patrick Reed,25,292.3,55.6,71,63.6,1.768,59
15,Brendon Todd,30,280.3,64.9,148,64,1.744,58.2
16,Justin Rose,35,295.1,59.9,49,66.9,1.757,58.2
17,Greg Chalmers,42,280.7,58.5,147,59.9,1.748,58.1
18,Chris Kirk,31,291,62.8,80,63.5,1.759,57.9
19,Jordan Spieth,22,289.7,58.8,89,62.5,1.717,57.6
20,Jason Day,28,301.2,58.7,18,64,1.776,57.3
21,Marc Leishman,32,297.6,58,32,65.2,1.755,56.9
22,Kevin Na,32,280.3,64.3,148,64.7,1.753,56.9
,Morgan Hoffmann,26,295.4,54.1,48,62.7,1.75,56.9
24,Richard H. Lee,29,285.1,61.9,125,60,1.771,56.8
25,Chad Collins,37,275.4,59.7,172,60,1.765,56.5
26,Sergio Garcia,36,294.3,62.2,57,68.7,1.75,56.4
27,Matt Kuchar,37,283.8,67.4,136,66.9,1.755,56.3
,Gonzalo Fernandez-Castano,35,288.1,59.9,102,60.8,1.783,56.3
29,Brian Davis,41,278.2,67.2,163,61.5,1.769,56.2
30,James Driscoll,38,284.2,52.7,132,60.9,1.774,56
31,Scott Langley,27,281.3,61.1,145,64.2,1.754,55.6
32,Charles Howell III,36,304.1,52.8,9,67.7,1.77,55.3
33,Russell Knox,30,285.7,67.6,120,68,1.782,55.2
34,Tim Wilkinson,37,282.4,59.5,140,61.7,1.764,55.1
35,David Hearn,36,279.1,67.5,156,66.4,1.764,54.9
36,Charl Schwartzel,31,297.8,59.4,30,63.5,1.739,54.8
37,Ted Potter Jr.,32,278.4,69.6,162,65.1,1.802,54.7
38,Bryce Molder,37,278.7,59.5,158,63.9,1.763,54.6
39,Sang-Moon Bae,29,288.5,61.4,98,62.9,1.76,54.6
40,Aaron Baddeley,35,293.8,52.3,60,59.8,1.746,54.4
41,Ben Crane,40,279,66.4,157,63.4,1.765,54.4
42,John Huh,25,283.9,66.9,134,64.4,1.801,54.3
43,Hunter Mahan,34,295.8,65.1,45,66.7,1.78,54.3
44,K.J. Choi,45,279.8,64.2,152,62.1,1.747,54.3
45,Ryan Palmer,39,300.4,58.6,23,66.7,1.738,53.9
46,Tyrone van Aswegen,34,290,53.5,87,64.2,1.774,53.8
47,Jason Dufner,39,285.3,63.8,122,66.3,1.784,53.8
