PLAYER,GOING FOR THE GREEN %
Rory McIlroy,76.14
Dustin Johnson,71.83
Jamie Lovemark,69.74
Bubba Watson,67.51
Adam Scott,66.84
Robert Garrigus,66.67
Gary Woodland,66.42
Ryan Palmer,66.37
Will Wilcox,65.6
Henrik Stenson,65.49
Kyle Stanley,65
Martin Kaymer,64.5
Rickie Fowler,64.41
Charl Schwartzel,64.17
Harris English,63.85
Matt Jones,63.47
Jhonattan Vegas,62.84
Jason Kokrak,62.56
John Peterson,62.37
Jimmy Walker,62.26
Lee Westwood,61.78
Brooks Koepka,61.59
Steven Bowditch,61.54
Kevin Stadler,61.37
Marc Leishman,61.3
Angel Cabrera,60.95
Martin Laird,60.8
Michael Putnam,60.77
Derek Ernst,60.55
Sean O'Hair,60.37
Keegan Bradley,60.34
Lucas Glover,59.76
Jason Day,59.46
Phil Mickelson,58.95
J.B. Holmes,58.89
Charley Hoffman,57.86
Sangmoon Bae,57.69
Sergio Garcia,57.46
Charles Howell III,57.45
Ernie Els,57.33
Andres Romero,57.26
Graham DeLaet,56.64
Brad Fritsch,56.3
Carl Pettersson,55.99
Billy Horschel,55.82
Aaron Baddeley,55.72
Andrew Loupe,55.63
Jeff Overton,55.25
Shawn Stefani,55.21
Rory Sabbatini,55.16
Louis Oosthuizen,55.1
Danny Lee,55.07
Morgan Hoffmann,55.02
Hideki Matsuyama,55.02
Hudson Swafford,54.84
Justin Rose,54.82
Hunter Mahan,54.79
Jim Herman,54.55
John Senden,53.87
Nick Watney,53.72
Bud Cauley,53.59
Tommy Gainey,53.57
Scott Stallings,53.49
Ryo Ishikawa,53.42
Boo Weekley,53.33
Josh Teater,53.23
Scott Brown,53.06
Wes Roach,53.01
Paul Casey,52.94
Troy Matteson,52.83
Kevin Tway,52.83
Robert Streb,52.56
Kevin Streelman,52.16
Brendan Steele,52.11
Russell Henley,52.08
Brendon de Jonge,52.05
Seung-Yul Noh,51.71
Chris Kirk,51.67
Chris Stroud,51.63
Charlie Beljan,51.54
Kevin Na,51.25
Bill Haas,51.17
Gonzalo Fdez-Castano,51.1
James Hahn,51.06
Jason Dufner,51.02
Patrick Reed,51
Matt Every,50.94
Webb Simpson,50.57
Vijay Singh,50.39
Erik Compton,50.37
Daniel Summerhays,50.31
Ken Duke,50.23
Kevin Chappell,50.16
Jordan Spieth,50
John Merrick,49.81
Martin Flores,49.79
William McGirt,49.65
Brice Garnett,49.6
Trevor Immelman,49.54
Luke Guthrie,49.41
Will MacKenzie,49.25
George McNeill,49.15
Jonathan Byrd,49.09
Geoff Ogilvy,48.86
Ricky Barnes,48.85
Brandt Snedeker,48.67
James Driscoll,48.45
Chesson Hadley,48.37
Nicholas Thompson,48.05
Ryan Moore,47.95
Davis Love III,47.89
Andrew Svoboda,47.75
Camilo Villegas,47.74
Ben Martin,47.51
Kevin Kisner,47.41
David Lingmerth,47.09
Bronson La'Cassie,46.83
Stewart Cink,46.43
Chad Campbell,46.32
D.A. Points,46.32
Ian Poulter,46.31
Cameron Tringale,45.82
John Huh,45.8
Johnson Wagner,45.79
Richard Lee,45.41
Y.E. Yang,45.37
Matt Kuchar,45.25
Michael Thompson,45
Charlie Wi,44.81
Brian Harman,44.74
Mark Wilson,44.26
Pat Perez,44.16
Zach Johnson,44.07
John Rollins,44.04
"Ted Potter, Jr.",43.88
Briny Baird,43.87
Jim Renner,43.86
J.J. Henry,43.7
Robert Allenby,43.67
Bo Van Pelt,43.1
Woody Austin,42.93
Brian Stuard,42.64
Roberto Castro,42.57
Brian Davis,41.9
Tyrone Van Aswegen,41.9
Jonas Blixt,41.36
Retief Goosen,41.13
Spencer Levin,40.36
Freddie Jacobson,40.07
Justin Hicks,39.75
Russell Knox,39.3
Greg Chalmers,38.25
Jeff Maggert,37.84
Luke Donald,37.66
Heath Slocum,37.57
Scott Langley,37.5
Tim Wilkinson,36.4
Ben Crane,35.79
Graeme McDowell,35.57
Jerry Kelly,35.14
Troy Merritt,35.09
David Hearn,35
D.H. Lee,34.87
Jason Bohn,34.36
Billy Hurley III,33.9
Ben Curtis,33.8
Chad Collins,33.01
Mike Weir,32.78
K.J. Choi,32.51
Stuart Appleby,31.94
Brendon Todd,31.92
Bryce Molder,31.84
David Toms,31.79
Jim Furyk,30.83
Brian Gay,30.23
Tim Clark,28.25
Justin Leonard,18.75
