PLAYER,greens hit
Chad Campbell,72.43
Justin Hicks,71.44
Graham DeLaet,70.68
Billy Horschel,70.43
J.J. Henry,69.6
Rory McIlroy,69.44
Jhonattan Vegas,69.11
Henrik Stenson,69.03
Kevin Stadler,68.91
Adam Scott,68.79
Hudson Swafford,68.78
Jim Furyk,68.75
David Toms,68.73
Sergio Garcia,68.68
Bill Haas,68.62
Bo Van Pelt,68.61
Harris English,68.36
Andrew Svoboda,68.11
John Merrick,68.07
Boo Weekley,68.06
Dustin Johnson,68.03
Russell Knox,68
Ryan Moore,67.99
Bubba Watson,67.96
John Senden,67.85
Charles Howell III,67.66
Robert Allenby,67.63
Kevin Chappell,67.59
Jimmy Walker,67.59
Bud Cauley,67.46
Zach Johnson,67.42
Nick Watney,67.33
Heath Slocum,67.31
Ken Duke,67.17
Charley Hoffman,67.08
Michael Putnam,67.05
Lucas Glover,67
Seung-yul Noh,66.97
Camilo Villegas,66.96
Matt Kuchar,66.92
Justin Rose,66.91
Daniel Summerhays,66.89
Will Wilcox,66.89
Kyle Stanley,66.87
Cameron Tringale,66.72
Keegan Bradley,66.67
Hunter Mahan,66.67
Ryan Palmer,66.67
Carl Pettersson,66.67
Nicholas Thompson,66.67
Gary Woodland,66.55
Martin Flores,66.54
Brendan Steele,66.47
Louis Oosthuizen,66.43
David Hearn,66.38
Jim Herman,66.38
Stewart Cink,66.36
Martin Laird,66.31
Jason Dufner,66.26
Shawn Stefani,66.2
George McNeill,66.17
Ben Martin,66.04
Billy Hurley III,65.89
Jeff Overton,65.79
Paul Casey,65.77
Graeme McDowell,65.77
Jeff Maggert,65.74
Michael Thompson,65.69
Robert Streb,65.65
Will MacKenzie,65.58
Jerry Kelly,65.56
John Peterson,65.56
Vijay Singh,65.39
Jason Kokrak,65.38
Rory Sabbatini,65.38
Kevin Kisner,65.29
Trevor Immelman,65.28
Webb Simpson,65.28
Phil Mickelson,65.26
Marc Leishman,65.21
Chris Stroud,65.21
Charlie Beljan,65.2
Brice Garnett,65.15
Robert Garrigus,65.14
"Ted Potter, Jr.",65.11
Josh Teater,65.09
Brad Fritsch,65.05
Troy Merritt,65.05
Scott Brown,65
Angel Cabrera,64.98
Brooks Koepka,64.98
Ricky Barnes,64.96
Ryo Ishikawa,64.96
Jamie Lovemark,64.91
Jonathan Byrd,64.89
John Rollins,64.86
Jason Bohn,64.75
Kevin Na,64.72
Martin Kaymer,64.58
Rickie Fowler,64.51
Davis Love III,64.51
Geoff Ogilvy,64.51
Brendon de Jonge,64.48
Danny Lee,64.44
William McGirt,64.41
John Huh,64.39
Pat Perez,64.35
Kevin Tway,64.35
Spencer Levin,64.31
Tim Clark,64.3
Brian Harman,64.26
Wes Roach,64.2
Tyrone Van Aswegen,64.17
Scott Langley,64.16
Johnson Wagner,64.1
Hideki Matsuyama,64.03
Tommy Gainey,64.01
Jason Day,64
Brendon Todd,63.99
James Hahn,63.96
Bryce Molder,63.93
Brian Stuard,63.86
Lee Westwood,63.69
Retief Goosen,63.64
Patrick Reed,63.64
Luke Guthrie,63.53
Charl Schwartzel,63.53
Derek Ernst,63.52
Chris Kirk,63.46
Briny Baird,63.44
Ben Crane,63.44
Sean O'Hair,63.42
Steven Bowditch,63.38
Matt Every,63.33
David Lingmerth,63.3
Brandt Snedeker,63.28
Matt Jones,63.25
Kevin Streelman,63.25
Mark Wilson,63.25
Scott Stallings,63.16
Andrew Loupe,63.11
Erik Compton,63.07
Chesson Hadley,63.03
Luke Donald,63
Stuart Appleby,62.96
Sang-Moon Bae,62.94
Morgan Hoffmann,62.74
D.A. Points,62.71
Jim Renner,62.71
Ben Curtis,62.63
Fredrik Jacobson,62.58
Jordan Spieth,62.47
Ian Poulter,62.4
K.J. Choi,62.08
Troy Matteson,61.97
Russell Henley,61.84
Tim Wilkinson,61.72
Y.E. Yang,61.68
Ernie Els,61.6
Brian Davis,61.47
Bronson La'Cassie,61.35
Jonas Blixt,61.11
J.B. Holmes,60.92
James Driscoll,60.88
Charlie Wi,60.87
Gonzalo Fernandez-Castano,60.84
Woody Austin,60.83
Andres Romero,60.53
Roberto Castro,60.44
Chad Collins,59.98
Richard H. Lee,59.97
D.H. Lee,59.89
Greg Chalmers,59.88
Aaron Baddeley,59.8
Brian Gay,59.21
Justin Leonard,57.78
Mike Weir,57.44
