PLAYER,HIT FAIRWAY PCT
David Toms,74.27
Tim Clark,74.01
Heath Slocum,73.01
Justin Hicks,72.79
Jim Furyk,71.9
Billy Hurley III,70.69
Ken Duke,70.47
Zach Johnson,70.02
Ryan Moore,69.28
Graeme McDowell,69.06
"Ted Potter, Jr.",68.94
Henrik Stenson,68.82
Boo Weekley,68.28
John Merrick,68.06
Kevin Streelman,68.06
Brendon de Jonge,67.97
David Hearn,67.9
Nicholas Thompson,67.39
Matt Kuchar,67.33
Brian Davis,67.23
John Huh,67.18
Russell Knox,67.01
Mark Wilson,66.84
Billy Horschel,66.77
Ben Crane,66.51
Jeff Maggert,66.34
Jerry Kelly,66.05
Daniel Summerhays,65.91
Kevin Chappell,65.89
D.H. Lee,65.81
Scott Brown,65.78
Andrew Svoboda,65.69
William McGirt,65.67
K.J. Choi,65.62
Brian Stuard,65.56
Ben Curtis,65.54
Danny Lee,65.27
Kevin Stadler,65.19
Hunter Mahan,65.13
Y.E. Yang,65.04
Cameron Tringale,64.97
Kevin Na,64.84
J.J. Henry,64.75
Nick Watney,64.75
Brandt Snedeker,64.66
Jason Bohn,64.65
Derek Ernst,64.62
Shawn Stefani,64.56
Ben Martin,64.34
John Peterson,64.27
Lucas Glover,64.25
Russell Henley,64.13
Brendon Todd,64.13
John Senden,63.99
Briny Baird,63.94
Will MacKenzie,63.72
Jason Dufner,63.65
Bo Van Pelt,63.59
Spencer Levin,63.53
Roberto Castro,63.38
Hudson Swafford,63.3
Chad Campbell,63.24
Justin Leonard,63.17
Bill Haas,63.15
George McNeill,63.02
Chris Stroud,62.94
Luke Donald,62.87
Webb Simpson,62.48
Brian Gay,62.4
Kyle Stanley,62.36
Martin Laird,62.27
Kevin Kisner,62.11
Robert Allenby,62.07
Troy Merritt,62.07
Michael Thompson,62
James Hahn,61.98
Jim Herman,61.95
Jonathan Byrd,61.92
Jhonattan Vegas,61.9
D.A. Points,61.86
Keegan Bradley,61.85
Chris Kirk,61.8
Michael Putnam,61.75
Woody Austin,61.74
Sangmoon Bae,61.62
Rickie Fowler,61.39
Adam Scott,61.17
Graham DeLaet,61.13
Josh Teater,61.1
Vijay Singh,61.06
Pat Perez,61.02
Richard Lee,60.99
Lee Westwood,60.97
Bubba Watson,60.95
Sergio Garcia,60.87
Hideki Matsuyama,60.69
Stuart Appleby,60.57
Brian Harman,60.51
Louis Oosthuizen,60.48
David Lingmerth,60.44
Camilo Villegas,60.38
Martin Kaymer,60.33
Scott Langley,60.31
Robert Streb,60.2
Ian Poulter,60.18
Charl Schwartzel,60.16
John Rollins,60.11
Paul Casey,60.1
Wes Roach,60.06
Rory McIlroy,60
Will Wilcox,59.93
Harris English,59.63
Brice Garnett,59.63
Chad Collins,59.62
Gonzalo Fdez-Castano,59.5
Freddie Jacobson,59.37
Charley Hoffman,59.35
Trevor Immelman,59.24
Bryce Molder,59.23
Charlie Beljan,59.2
Marc Leishman,59.15
Angel Cabrera,59.14
Erik Compton,59.09
Davis Love III,59.05
Gary Woodland,59.01
Brad Fritsch,59
Carl Pettersson,58.98
Ryan Palmer,58.94
Jason Day,58.89
Luke Guthrie,58.87
Stewart Cink,58.83
Greg Chalmers,58.72
Bronson La'Cassie,58.63
Charlie Wi,58.6
Tim Wilkinson,58.59
Kevin Tway,58.58
Brendan Steele,58.5
Geoff Ogilvy,58.49
Tommy Gainey,58.45
Matt Every,58.4
Johnson Wagner,58.18
Phil Mickelson,58.12
Jordan Spieth,57.95
Robert Garrigus,57.87
Jeff Overton,57.66
Chesson Hadley,57.62
Matt Jones,57.59
Bud Cauley,57.52
Martin Flores,57.28
Justin Rose,57.18
Brooks Koepka,56.9
Scott Stallings,56.78
Andres Romero,56.72
Jason Kokrak,56.65
Jim Renner,56.56
Jonas Blixt,56.32
J.B. Holmes,56.23
Dustin Johnson,56.2
Seung-Yul Noh,56.17
Retief Goosen,56.01
Patrick Reed,55.79
Troy Matteson,55.47
Steven Bowditch,55.12
Aaron Baddeley,55.08
Ricky Barnes,54.78
Sean O'Hair,54.6
Rory Sabbatini,54.58
Tyrone Van Aswegen,54.51
Morgan Hoffmann,54.3
Jamie Lovemark,53.63
Ernie Els,53.02
Charles Howell III,52.22
Mike Weir,51.79
James Driscoll,51.64
Jimmy Walker,51.25
Ryo Ishikawa,51.18
Andrew Loupe,51.1
