PLAYER,ONE PUTT PCT
Jordan Spieth,46
Justin Leonard,44
Aaron Baddeley,44
Brian Gay,44
Ian Poulter,43
Greg Chalmers,43
Mike Weir,43
J.B. Holmes,43
Richard Lee,43
Phil Mickelson,43
Luke Guthrie,42
Rickie Fowler,42
Charl Schwartzel,42
Brendon Todd,42
Chris Kirk,42
Luke Donald,42
Chris Stroud,42
Freddie Jacobson,42
Rory McIlroy,42
Morgan Hoffmann,42
Tim Wilkinson,42
Wes Roach,42
Stuart Appleby,42
Kevin Na,42
Gonzalo Fdez-Castano,42
Ernie Els,41
Andres Romero,41
Chad Collins,41
Matt Every,41
Lee Westwood,41
Brandt Snedeker,41
Brian Davis,41
Jerry Kelly,41
Tim Clark,41
Ryan Palmer,41
Ricky Barnes,41
Brian Stuard,41
Sangmoon Bae,41
Graeme McDowell,41
Andrew Loupe,41
Erik Compton,41
K.J. Choi,41
Charlie Wi,41
Sergio Garcia,41
Scott Langley,41
Patrick Reed,41
Jason Day,40.51
Jimmy Walker,41
Scott Brown,41
Hideki Matsuyama,40
Dustin Johnson,40
Steven Bowditch,40
Charley Hoffman,40
Adam Scott,40
Bryce Molder,40
Pat Perez,40
William McGirt,40
Michael Thompson,40
Webb Simpson,40
Brooks Koepka,40
Jonas Blixt,40
Ryo Ishikawa,40
James Driscoll,40
Robert Streb,40
Ben Crane,40
Matt Kuchar,40
Kevin Streelman,40
Brad Fritsch,39.93
Jeff Overton,40
Brian Harman,40
Bronson La'Cassie,39.72
Camilo Villegas,40
Zach Johnson,40
Chesson Hadley,40
Brendan Steele,40
Matt Jones,39
Justin Rose,39
Y.E. Yang,39
George McNeill,39
Seung-Yul Noh,39
Jason Kokrak,39
Keegan Bradley,39
Sean O'Hair,39
Tyrone Van Aswegen,39
Tommy Gainey,39
Russell Henley,39
Woody Austin,39
Retief Goosen,39
Martin Kaymer,39
Paul Casey,39
David Lingmerth,39
Robert Garrigus,39
Brice Garnett,39
D.H. Lee,39.11
Jim Furyk,39
Danny Lee,39
Geoff Ogilvy,39
Ben Curtis,39
Rory Sabbatini,39
Ben Martin,39
Marc Leishman,39
Troy Merritt,39
Will MacKenzie,39
Bubba Watson,39
David Hearn,39
Kevin Kisner,39
Kevin Chappell,39
Shawn Stefani,39
Ryan Moore,39
Brendon de Jonge,38
Gary Woodland,38
Jason Bohn,38
Jonathan Byrd,38
David Toms,38
Bill Haas,38
Roberto Castro,38
Billy Hurley III,38
Hunter Mahan,38
Daniel Summerhays,38
John Huh,38
Russell Knox,38
"Ted Potter, Jr.",38
Charles Howell III,38
Cameron Tringale,38
Spencer Levin,38
Martin Flores,38
John Senden,38
Harris English,38
Jamie Lovemark,38
Angel Cabrera,38
Briny Baird,37.56
Nick Watney,38
Davis Love III,38
Vijay Singh,37
Stewart Cink,37
Heath Slocum,37
Carl Pettersson,37
Troy Matteson,37
Louis Oosthuizen,37.08
Ken Duke,37
Johnson Wagner,37
Scott Stallings,37
Michael Putnam,37
Jeff Maggert,36.93
Robert Allenby,37
D.A. Points,37
Charlie Beljan,37
Bud Cauley,37
Bo Van Pelt,37
Graham DeLaet,37
Josh Teater,36
James Hahn,36
Mark Wilson,36
Jason Dufner,36.21
Derek Ernst,36
Trevor Immelman,36
Andrew Svoboda,36
Henrik Stenson,35.7
Jim Renner,36
Jhonattan Vegas,36
John Peterson,35
Jim Herman,35
Will Wilcox,35.37
Billy Horschel,35
Kevin Stadler,35
Nicholas Thompson,35
Martin Laird,35
Kevin Tway,35
Justin Hicks,35
John Merrick,34
Kyle Stanley,34
John Rollins,34
Hudson Swafford,34
Chad Campbell,33.54
Lucas Glover,34
J.J. Henry,33
Boo Weekley,32
