PLAYER,PAR 3
Sergio Garcia,2.95
Troy Merritt,2.95
Scott Brown,2.96
Tyrone Van Aswegen,2.96
Russell Knox,2.98
Keegan Bradley,2.99
Dustin Johnson,2.99
Will MacKenzie,2.99
Ryan Moore,2.99
Tim Clark,3
Ryo Ishikawa,3
Justin Leonard,3
Charl Schwartzel,3
Harris English,3.01
Jim Furyk,3.01
Brian Harman,3.01
Scott Langley,3.01
John Senden,3.01
Kevin Stadler,3.01
Chris Stroud,3.01
Brendon Todd,3.01
Jimmy Walker,3.01
Robert Allenby,3.02
Ricky Barnes,3.02
Chad Campbell,3.02
Ben Crane,3.02
Jason Day,3.02
Bill Haas,3.02
David Hearn,3.02
John Huh,3.02
Billy Hurley III,3.02
D.H. Lee,3.02
Jordan Spieth,3.02
David Toms,3.02
Bo Van Pelt,3.02
Graham DeLaet,3.03
Morgan Hoffmann,3.03
Zach Johnson,3.03
Jerry Kelly,3.03
Richard Lee,3.03
Rory McIlroy,3.03
Daniel Summerhays,3.03
Camilo Villegas,3.03
Stuart Appleby,3.04
Kevin Chappell,3.04
Chad Collins,3.04
Ken Duke,3.04
Ernie Els,3.04
Matt Every,3.04
Luke Guthrie,3.04
Justin Hicks,3.04
Billy Horschel,3.04
Freddie Jacobson,3.04
Matt Jones,3.04
Matt Kuchar,3.04
Marc Leishman,3.04
George McNeill,3.04
Louis Oosthuizen,3.04
Wes Roach,3.04
Heath Slocum,3.04
Luke Donald,3.05
Retief Goosen,3.05
Martin Kaymer,3.05
Jason Kokrak,3.05
Spencer Levin,3.05
Jeff Maggert,3.05
William McGirt,3.05
Seung-Yul Noh,3.05
Sean O'Hair,3.05
Kyle Stanley,3.05
Shawn Stefani,3.05
Brian Stuard,3.05
Nick Watney,3.05
Bubba Watson,3.05
Mike Weir,3.05
Briny Baird,3.06
Jason Bohn,3.06
Paul Casey,3.06
Rickie Fowler,3.06
Brice Garnett,3.06
J.J. Henry,3.06
Chris Kirk,3.06
Brooks Koepka,3.06
Ben Martin,3.06
Graeme McDowell,3.06
Bryce Molder,3.06
Jeff Overton,3.06
Michael Putnam,3.06
Justin Rose,3.06
Rory Sabbatini,3.06
Michael Thompson,3.06
Cameron Tringale,3.06
Gary Woodland,3.06
Greg Chalmers,3.07
Gonzalo Fdez-Castano,3.07
Tommy Gainey,3.07
Robert Garrigus,3.07
Charley Hoffman,3.07
David Lingmerth,3.07
Phil Mickelson,3.07
Kevin Na,3.07
Ryan Palmer,3.07
Pat Perez,3.07
John Peterson,3.07
D.A. Points,3.07
Webb Simpson,3.07
Brandt Snedeker,3.07
Josh Teater,3.07
Johnson Wagner,3.07
Charlie Wi,3.07
Tim Wilkinson,3.07
K.J. Choi,3.08
Brendon de Jonge,3.08
Brad Fritsch,3.08
Kevin Kisner,3.08
Jamie Lovemark,3.08
Brendan Steele,3.08
Andrew Svoboda,3.08
Hudson Swafford,3.08
Y.E. Yang,3.08
Stewart Cink,3.09
Ben Curtis,3.09
Jim Herman,3.09
J.B. Holmes,3.09
"Ted Potter, Jr.",3.09
Patrick Reed,3.09
Scott Stallings,3.09
Jhonattan Vegas,3.09
Will Wilcox,3.09
Aaron Baddeley,3.1
Charlie Beljan,3.1
Jonathan Byrd,3.1
Bud Cauley,3.1
Erik Compton,3.1
Brian Davis,3.1
James Driscoll,3.1
Jason Dufner,3.1
Brian Gay,3.1
James Hahn,3.1
Adam Scott,3.1
Angel Cabrera,3.11
Charles Howell III,3.11
Danny Lee,3.11
Carl Pettersson,3.11
Andres Romero,3.11
Vijay Singh,3.11
Henrik Stenson,3.11
Steven Bowditch,3.12
Derek Ernst,3.12
Martin Flores,3.12
Hideki Matsuyama,3.12
John Merrick,3.12
Jim Renner,3.12
Sangmoon Bae,3.13
Jonas Blixt,3.13
Chesson Hadley,3.13
Hunter Mahan,3.13
Troy Matteson,3.13
Nicholas Thompson,3.13
Roberto Castro,3.14
Russell Henley,3.14
Davis Love III,3.14
Robert Streb,3.14
Lee Westwood,3.14
Trevor Immelman,3.15
Bronson La'Cassie,3.15
Martin Laird,3.15
Andrew Loupe,3.15
Geoff Ogilvy,3.15
John Rollins,3.15
Kevin Tway,3.15
Mark Wilson,3.15
Woody Austin,3.16
Ian Poulter,3.16
Kevin Streelman,3.16
Lucas Glover,3.2
Boo Weekley,3.21
