RANK THIS WEEK,,PLAYER NAME,,AVG
1,,Phil Mickelson,,2.94
2,,Ryan Moore  titleist,,2.95
3,,Alex Cejka  titleist,,2.97
T4,,Jerry Kelly,,2.98
T4,,Steve Stricker  titleist,,2.98
T4,,Camilo Villegas,,2.98
T7,,Ricky Barnes,,2.99
T7,,Jon Curran,,2.99
T7,,David Hearn  titleist,,2.99
T7,,John Huh  titleist,,2.99
T7,,Freddie Jacobson,,2.99
T7,,Adam Scott  titleist,,2.99
T7,,Tim Wilkinson  titleist,,2.99
T14,,Bronson Burgoon  titleist,,3
T14,,Chad Campbell  titleist,,3
T14,,Marc Leishman,,3
T14,,Spencer Levin  titleist,,3
T14,,Henrik Norlander,,3
T14,,Louis Oosthuizen  titleist,,3
T14,,Chez Reavie  titleist,,3
T14,,Patrick Reed,,3
T14,,Brandt Snedeker,,3
T14,,Brian Stuard  titleist,,3
T24,,K.J. Choi,,3.01
T24,,Stewart Cink  titleist,,3.01
T24,,Jamie Donaldson  titleist,,3.01
T24,,Robert Garrigus  titleist,,3.01
T24,,Dustin Johnson,,3.01
T24,,Troy Merritt  titleist,,3.01
T24,,Bryce Molder  titleist,,3.01
T31,,Sergio Garcia,,3.02
T31,,Retief Goosen,,3.02
T31,,Bill Haas  titleist,,3.02
T31,,Adam Hadwin,,3.02
T31,,Patton Kizzire  titleist,,3.02
T31,,Colt Knost  titleist,,3.02
T31,,Jason Kokrak  titleist,,3.02
T31,,Andrew Loupe  titleist,,3.02
T31,,Graeme McDowell,,3.02
T31,,William McGirt,,3.02
T31,,Kevin Na  titleist,,3.02
T42,,Zac Blair  titleist,,3.03
T42,,Kevin Chappell,,3.03
T42,,Matthew Fitzpatrick  titleist,,3.03
T42,,Charles Howell III  titleist,,3.03
T42,,Hiroshi Iwata,,3.03
T42,,Zach Johnson  titleist,,3.03
T42,,Russell Knox,,3.03
T42,,Scott Langley  titleist,,3.03
T42,,Peter Malnati  titleist,,3.03
T42,,Hideki Matsuyama,,3.03
T42,,Rob Oppenheim  titleist,,3.03
T42,,Justin Rose,,3.03
T42,,Jordan Spieth  titleist,,3.03
T42,,Michael Thompson  titleist,,3.03
T56,,Tyler Aldridge  titleist,,3.04
T56,,Byeong Hun An  titleist,,3.04
T56,,Abraham Ancer,,3.04
T56,,Roberto Castro  titleist,,3.04
T56,,Brice Garnett  titleist,,3.04
T56,,Chesson Hadley  titleist,,3.04
T56,,Tim Herron  titleist,,3.04
T56,,Billy Hurley III,,3.04
T56,,Whee Kim  titleist,,3.04
T56,,David Lingmerth  titleist,,3.04
T56,,Pat Perez,,3.04
T56,,Charl Schwartzel,,3.04
T56,,Cameron Tringale  titleist,,3.04
T56,,Dawie van der Walt,,3.04
T70,,Scott Brown  titleist,,3.05
T70,,Angel Cabrera  titleist,,3.05
T70,,Paul Casey,,3.05
T70,,Ben Crane  titleist,,3.05
T70,,Jason Day,,3.05
T70,,Russell Henley,,3.05
T70,,J.B. Holmes,,3.05
T70,,Michael Kim  titleist,,3.05
T70,,Martin Laird,,3.05
T70,,Justin Thomas  titleist,,3.05
T70,,Johnson Wagner  titleist,,3.05
T70,,Bubba Watson  titleist,,3.05
