PLAYER,PAR 5
Adam Scott,4.48
Charl Schwartzel,4.52
Will Wilcox,4.52
Dustin Johnson,4.53
Hideki Matsuyama,4.55
Rory McIlroy,4.55
Charles Howell III,4.57
Kevin Na,4.57
Henrik Stenson,4.57
Zach Johnson,4.58
Martin Laird,4.58
John Senden,4.58
Jhonattan Vegas,4.58
Bubba Watson,4.58
Jason Day,4.59
Rickie Fowler,4.59
Justin Rose,4.59
Steven Bowditch,4.6
Paul Casey,4.6
Brad Fritsch,4.6
Brooks Koepka,4.6
Brian Davis,4.61
Jason Dufner,4.61
Robert Garrigus,4.61
Ryo Ishikawa,4.61
Chris Kirk,4.61
Marc Leishman,4.61
Aaron Baddeley,4.62
Harris English,4.62
Bill Haas,4.62
Jimmy Walker,4.62
Woody Austin,4.63
Jim Furyk,4.63
Billy Horschel,4.63
Matt Jones,4.63
Graeme McDowell,4.63
Jordan Spieth,4.63
Shawn Stefani,4.63
Cameron Tringale,4.63
Sangmoon Bae,4.64
Bud Cauley,4.64
Graham DeLaet,4.64
James Driscoll,4.64
Matt Every,4.64
Martin Flores,4.64
Jason Kokrak,4.64
Danny Lee,4.64
Jamie Lovemark,4.64
Ian Poulter,4.64
Kevin Stadler,4.64
Brian Stuard,4.64
Sergio Garcia,4.65
Brice Garnett,4.65
Matt Kuchar,4.65
Ryan Palmer,4.65
Wes Roach,4.65
Webb Simpson,4.65
Vijay Singh,4.65
Brendan Steele,4.65
Tim Wilkinson,4.65
Luke Donald,4.66
Trevor Immelman,4.66
Kevin Kisner,4.66
George McNeill,4.66
Sean O'Hair,4.66
Carl Pettersson,4.66
Brandt Snedeker,4.66
Robert Streb,4.66
Daniel Summerhays,4.66
Brendon Todd,4.66
Jonathan Byrd,4.67
Angel Cabrera,4.67
Kevin Chappell,4.67
Stewart Cink,4.67
Ken Duke,4.67
Luke Guthrie,4.67
Seung-Yul Noh,4.67
Pat Perez,4.67
Michael Putnam,4.67
Patrick Reed,4.67
Hudson Swafford,4.67
Nicholas Thompson,4.67
Kevin Tway,4.67
Lee Westwood,4.67
Gary Woodland,4.67
Briny Baird,4.68
Charlie Beljan,4.68
Jason Bohn,4.68
K.J. Choi,4.68
Chesson Hadley,4.68
Morgan Hoffmann,4.68
William McGirt,4.68
Ryan Moore,4.68
Geoff Ogilvy,4.68
Andrew Svoboda,4.68
Josh Teater,4.68
Nick Watney,4.68
Ricky Barnes,4.69
Keegan Bradley,4.69
Chad Campbell,4.69
Roberto Castro,4.69
Brendon de Jonge,4.69
Lucas Glover,4.69
Brian Harman,4.69
Davis Love III,4.69
Hunter Mahan,4.69
Bryce Molder,4.69
Rory Sabbatini,4.69
Heath Slocum,4.69
Chris Stroud,4.69
Retief Goosen,4.7
James Hahn,4.7
Charley Hoffman,4.7
Richard Lee,4.7
Will MacKenzie,4.7
Phil Mickelson,4.7
Andres Romero,4.7
Kevin Streelman,4.7
Michael Thompson,4.7
Bo Van Pelt,4.7
Ernie Els,4.71
Justin Hicks,4.71
Freddie Jacobson,4.71
Jerry Kelly,4.71
Scott Langley,4.71
Justin Leonard,4.71
Andrew Loupe,4.71
Ben Martin,4.71
John Merrick,4.71
Jeff Overton,4.71
"Ted Potter, Jr.",4.71
Tyrone Van Aswegen,4.71
Johnson Wagner,4.71
Charlie Wi,4.71
Scott Brown,4.72
Erik Compton,4.72
Derek Ernst,4.72
David Hearn,4.72
Jim Herman,4.72
Russell Knox,4.72
Spencer Levin,4.72
Troy Matteson,4.72
Troy Merritt,4.72
Camilo Villegas,4.72
Y.E. Yang,4.72
Stuart Appleby,4.73
Tommy Gainey,4.73
J.B. Holmes,4.73
Billy Hurley III,4.73
Bronson La'Cassie,4.73
Scott Stallings,4.73
Kyle Stanley,4.73
Jonas Blixt,4.74
Ben Curtis,4.74
Russell Henley,4.74
Martin Kaymer,4.74
John Peterson,4.74
Boo Weekley,4.74
J.J. Henry,4.75
Greg Chalmers,4.76
John Huh,4.76
John Rollins,4.76
David Toms,4.76
Mark Wilson,4.76
Robert Allenby,4.77
Tim Clark,4.77
Jim Renner,4.77
Chad Collins,4.78
David Lingmerth,4.78
Mike Weir,4.79
Gonzalo Fdez-Castano,4.81
Louis Oosthuizen,4.81
Brian Gay,4.83
Jeff Maggert,4.83
Ben Crane,4.84
D.H. Lee,4.84
D.A. Points,4.85
