PLAYER,prox to hole,GIR RANK
Tim Clark,31.1,110
Jim Furyk,32,12
Paul Casey,32.2,65
Nick Watney,32.3,32
Hideki Matsuyama,32.7,116
Bo Van Pelt,32.8,16
Russell Knox,32.9,22
Dustin Johnson,32.1,21
Chad Campbell,33,1
Graham DeLaet,33.1,3
Kevin Chappell,33.3,28
Zach Johnson,33.4,31
Tyrone Van Aswegen,33.4,113
Brian Harman,33.5,111
David Toms,33.5,13
Troy Merritt,33.8,87
Heath Slocum,33.8,33
Stewart Cink,33.1,57
Lucas Glover,33.1,37
Ken Duke,33.11,34
Graeme McDowell,33.11,65
Sergio Garcia,34,14
Brooks Koepka,34,90
Ryan Moore,34,23
Jason Bohn,34.2,97
"Ted Potter, Jr.",34.2,85
Charlie Beljan,34.3,82
Jeff Maggert,34.3,67
Bryce Molder,34.3,121
Kyle Stanley,34.3,44
Rory McIlroy,34.4,6
John Peterson,34.4,71
Justin Hicks,34.5,2
Billy Hurley III,34.5,63
Kevin Stadler,34.6,9
Robert Allenby,34.7,27
Charley Hoffman,34.7,35
Marc Leishman,34.7,80
Justin Rose,34.8,41
Camilo Villegas,34.8,39
Jerry Kelly,34.9,71
George McNeill,34.9,61
Jason Dufner,34.1,59
Chesson Hadley,34.1,143
Scott Stallings,34.1,140
Bubba Watson,34.1,24
Vijay Singh,34.11,73
Keegan Bradley,35,46
Ben Martin,35,62
Kevin Na,35,98
Robert Streb,35,69
K.J. Choi,35.1,154
David Hearn,35.1,55
Jim Herman,35.1,55
Freddie Jacobson,35.1,151
Matt Kuchar,35.1,40
Adam Scott,35.2,10
Nicholas Thompson,35.2,46
Boo Weekley,35.2,20
Jason Day,35.3,118
Harris English,35.3,17
Brad Fritsch,35.3,87
Jim Renner,35.3,148
Hudson Swafford,35.3,11
Brendon Todd,35.3,119
Scott Langley,35.4,114
Louis Oosthuizen,35.4,54
Brian Stuard,35.4,122
James Hahn,35.5,120
Ryo Ishikawa,35.5,92
Brandt Snedeker,35.5,136
Brendan Steele,35.5,53
Andrew Svoboda,35.5,18
Mark Wilson,35.5,137
Chris Kirk,35.6,129
John Merrick,35.6,19
Stuart Appleby,35.7,145
Retief Goosen,35.7,124
Kevin Kisner,35.7,76
Davis Love III,35.7,100
Seung-Yul Noh,35.7,38
Will Wilcox,35.7,42
Ricky Barnes,35.8,92
Ben Crane,35.8,130
Brendon de Jonge,35.8,103
Phil Mickelson,35.8,79
Shawn Stefani,35.8,60
Angel Cabrera,35.9,90
Carl Pettersson,35.9,46
Rickie Fowler,35.1,100
Robert Garrigus,35.1,84
Luke Guthrie,35.1,126
John Huh,35.1,106
Ryan Palmer,35.1,46
Josh Teater,35.1,86
Briny Baird,35.11,130
Scott Brown,35.11,89
Bill Haas,35.11,15
Pat Perez,35.11,107
Webb Simpson,35.11,77
Bud Cauley,36,30
Kevin Streelman,36,137
Luke Donald,36.1,144
Tommy Gainey,36.1,117
Danny Lee,36.1,104
Wes Roach,36.1,112
Jordan Spieth,36.1,152
Martin Kaymer,36.2,99
David Lingmerth,36.2,135
John Rollins,36.2,96
John Senden,36.2,25
Michael Thompson,36.2,68
Cameron Tringale,36.2,45
Woody Austin,36.3,167
Matt Every,36.3,134
Martin Flores,36.3,52
Jason Kokrak,36.3,74
Billy Horschel,36.4,4
D.A. Points,36.4,148
Patrick Reed,36.4,124
Steven Bowditch,36.5,133
Roberto Castro,36.5,169
Charles Howell III,36.5,26
Ian Poulter,36.5,153
Rory Sabbatini,36.5,74
Morgan Hoffmann,36.6,147
Henrik Stenson,36.6,8
Chris Stroud,36.6,80
Jimmy Walker,36.6,28
Hunter Mahan,36.7,46
Daniel Summerhays,36.7,42
Johnson Wagner,36.7,115
Tim Wilkinson,36.7,157
Jonathan Byrd,36.8,95
Gonzalo Fdez-Castano,36.8,166
J.J. Henry,36.8,5
Will MacKenzie,36.8,70
Michael Putnam,36.8,36
Charlie Wi,36.8,165
Geoff Ogilvy,36.9,100
Brian Davis,36.1,160
Jamie Lovemark,36.1,94
Jeff Overton,36.1,64
Gary Woodland,36.1,51
Y.E. Yang,36.1,158
Brian Gay,36.11,175
Russell Henley,36.11,156
Spencer Levin,36.11,109
Troy Matteson,37,155
William McGirt,37,105
Brice Garnett,37.1,83
Martin Laird,37.1,58
Erik Compton,37.2,142
Justin Leonard,37.2,176
Sean O'Hair,37.2,132
Bronson La'Cassie,37.4,161
Charl Schwartzel,37.4,126
Sangmoon Bae,37.5,146
Jonas Blixt,37.7,162
J.B. Holmes,37.9,163
Kevin Tway,37.1,107
Mike Weir,37.1,177
Andrew Loupe,37.11,141
Trevor Immelman,38,77
Jhonattan Vegas,38,7
Ernie Els,38.1,159
D.H. Lee,38.1,172
Ben Curtis,38.2,150
Chad Collins,38.3,170
Greg Chalmers,38.4,173
Andres Romero,38.4,168
James Driscoll,38.6,164
Derek Ernst,38.7,128
Matt Jones,38.7,137
Lee Westwood,38.7,123
Richard Lee,38.8,171
Aaron Baddeley,39.1,174
