PLAYER,ROUGH TENDENCY
David Toms,19.6
Tim Clark,19.72
Jim Furyk,21.24
Heath Slocum,21.45
Justin Hicks,21.55
Billy Hurley III,21.83
David Hearn,22.57
Ken Duke,22.58
Henrik Stenson,22.62
Graeme McDowell,22.66
Ryan Moore,22.78
Zach Johnson,22.91
Boo Weekley,22.93
John Merrick,23.35
Kevin Chappell,23.44
Nicholas Thompson,23.63
Billy Horschel,23.68
Kevin Streelman,23.8
Matt Kuchar,24.15
"Ted Potter, Jr.",24.22
Mark Wilson,24.3
Brendon de Jonge,24.35
K.J. Choi,24.76
Russell Knox,24.76
Brandt Snedeker,24.84
Scott Brown,25
Lucas Glover,25.12
Ben Martin,25.14
Nick Watney,25.16
John Peterson,25.26
Ben Crane,25.32
Y.E. Yang,25.45
Brian Davis,25.47
Kevin Stadler,25.64
Chris Stroud,25.67
John Huh,25.74
Daniel Summerhays,25.77
Brian Stuard,25.78
Hunter Mahan,25.87
Derek Ernst,25.94
Cameron Tringale,25.96
Jerry Kelly,25.98
Ben Curtis,25.99
Andrew Svoboda,26.03
Jeff Maggert,26.14
Danny Lee,26.15
Jason Bohn,26.24
William McGirt,26.28
Kyle Stanley,26.44
Bill Haas,26.48
Troy Merritt,26.51
Russell Henley,26.54
Michael Thompson,26.54
Shawn Stefani,26.61
J.J. Henry,26.62
D.H. Lee,26.68
Chris Kirk,26.86
Luke Donald,26.9
Briny Baird,26.92
John Senden,27.01
Kevin Kisner,27.02
Bud Cauley,27.27
George McNeill,27.27
Hudson Swafford,27.34
Kevin Na,27.46
Jason Dufner,27.47
Bo Van Pelt,27.6
James Hahn,27.72
Chad Campbell,27.73
Martin Kaymer,27.84
Roberto Castro,27.87
Will MacKenzie,27.93
Martin Laird,27.94
Lee Westwood,27.97
Graham DeLaet,28.14
Rickie Fowler,28.22
Robert Allenby,28.29
Justin Leonard,28.32
Keegan Bradley,28.34
Brendon Todd,28.42
Pat Perez,28.49
Gonzalo Fdez-Castano,28.5
Spencer Levin,28.51
Brice Garnett,28.52
Paul Casey,28.57
Vijay Singh,28.58
Sergio Garcia,28.62
Charley Hoffman,28.63
Brian Gay,28.69
D.A. Points,28.7
Jhonattan Vegas,28.8
Louis Oosthuizen,28.92
Webb Simpson,28.95
Josh Teater,28.96
John Rollins,29.02
Camilo Villegas,29.07
Richard Lee,29.2
Brian Harman,29.29
Wes Roach,29.31
Woody Austin,29.42
Matt Every,29.43
Harris English,29.47
Michael Putnam,29.48
Adam Scott,29.5
Greg Chalmers,29.51
Jonathan Byrd,29.62
Jim Herman,29.62
Freddie Jacobson,29.64
Jonas Blixt,29.68
Jim Renner,29.75
Stuart Appleby,29.9
Hideki Matsuyama,29.9
Bryce Molder,30.01
Marc Leishman,30.05
David Lingmerth,30.05
Trevor Immelman,30.16
Charlie Beljan,30.19
Luke Guthrie,30.25
Bubba Watson,30.28
Gary Woodland,30.5
Phil Mickelson,30.58
Jeff Overton,30.63
Sangmoon Bae,30.64
Robert Garrigus,30.68
Geoff Ogilvy,30.69
Brendan Steele,30.69
Johnson Wagner,30.71
Davis Love III,30.74
Brooks Koepka,30.86
Carl Pettersson,30.89
Charlie Wi,30.97
Robert Streb,31
Jordan Spieth,31.08
Chad Collins,31.12
Rory McIlroy,31.13
Rory Sabbatini,31.14
Ian Poulter,31.15
Tommy Gainey,31.16
Kevin Tway,31.22
Matt Jones,31.23
Stewart Cink,31.28
Charl Schwartzel,31.28
Erik Compton,31.29
Will Wilcox,31.31
Aaron Baddeley,31.37
Angel Cabrera,31.47
Justin Rose,31.52
Martin Flores,31.69
Brad Fritsch,31.73
Bronson La'Cassie,31.73
Tim Wilkinson,31.82
Steven Bowditch,31.84
Jason Kokrak,31.86
Scott Langley,31.9
Chesson Hadley,31.91
Ryan Palmer,32
Troy Matteson,32.23
Retief Goosen,32.25
Seung-Yul Noh,32.36
J.B. Holmes,32.38
Andres Romero,32.59
Ricky Barnes,32.87
Scott Stallings,33.26
Tyrone Van Aswegen,33.3
Jason Day,33.56
Sean O'Hair,33.59
Morgan Hoffmann,33.69
Mike Weir,33.75
Dustin Johnson,34.03
Ernie Els,34.07
Patrick Reed,34.47
Jamie Lovemark,34.93
James Driscoll,35.64
Charles Howell III,35.7
Ryo Ishikawa,35.7
Jimmy Walker,35.89
Andrew Loupe,36.82
