PLAYER,SCORING AVG
Rory McIlroy,68.827
Sergio Garcia,68.95
Jim Furyk,69.2
Adam Scott,69.205
Matt Kuchar,69.416
Dustin Johnson,69.546
Justin Rose,69.624
Jason Day,69.626
Graeme McDowell,69.642
Charl Schwartzel,69.671
Bubba Watson,69.712
Jimmy Walker,69.789
Graham DeLaet,69.943
Jordan Spieth,69.946
Ryan Palmer,69.993
Kevin Na,69.996
Keegan Bradley,70.031
Brendon Todd,70.049
Brooks Koepka,70.052
Hideki Matsuyama,70.083
Harris English,70.094
Russell Knox,70.111
Bill Haas,70.132
Charles Howell III,70.134
Chris Kirk,70.15
Paul Casey,70.152
Marc Leishman,70.152
Zach Johnson,70.159
Henrik Stenson,70.166
Rickie Fowler,70.172
Webb Simpson,70.234
George McNeill,70.248
Gary Woodland,70.249
John Senden,70.27
Phil Mickelson,70.278
Jason Kokrak,70.307
Ryan Moore,70.344
Jerry Kelly,70.349
David Toms,70.35
Brian Harman,70.391
Charley Hoffman,70.464
Kevin Chappell,70.466
Martin Kaymer,70.468
Chris Stroud,70.476
Robert Streb,70.502
Carl Pettersson,70.52
Billy Horschel,70.521
Brian Stuard,70.549
Daniel Summerhays,70.566
Hunter Mahan,70.574
Chad Campbell,70.59
Patrick Reed,70.598
Stuart Appleby,70.599
Freddie Jacobson,70.604
Shawn Stefani,70.609
Kevin Stadler,70.62
Cameron Tringale,70.63
Luke Guthrie,70.638
Seung-Yul Noh,70.661
Scott Langley,70.662
Ricky Barnes,70.671
Brandt Snedeker,70.671
Angel Cabrera,70.675
Will MacKenzie,70.685
Billy Hurley III,70.696
William McGirt,70.712
Andrew Svoboda,70.713
Tim Wilkinson,70.714
Camilo Villegas,70.716
Kevin Kisner,70.718
J.B. Holmes,70.721
Matt Every,70.722
Ian Poulter,70.722
Robert Garrigus,70.728
Retief Goosen,70.728
Ben Martin,70.732
Jeff Overton,70.734
Luke Donald,70.735
Ernie Els,70.736
Heath Slocum,70.737
Tim Clark,70.738
Lee Westwood,70.738
Nick Watney,70.756
Aaron Baddeley,70.796
Brendan Steele,70.798
Brendon de Jonge,70.801
Danny Lee,70.802
Will Wilcox,70.819
Bo Van Pelt,70.827
Erik Compton,70.829
David Hearn,70.83
Justin Hicks,70.836
Stewart Cink,70.847
Louis Oosthuizen,70.852
Andres Romero,70.852
K.J. Choi,70.87
Brad Fritsch,70.888
Jason Bohn,70.892
Justin Leonard,70.895
Morgan Hoffmann,70.899
Jason Dufner,70.9
Troy Merritt,70.9
Michael Putnam,70.905
Robert Allenby,70.92
Vijay Singh,70.933
Scott Brown,70.936
Ben Crane,70.954
Ryo Ishikawa,70.98
Matt Jones,71.021
Jhonattan Vegas,71.022
Brice Garnett,71.039
Bud Cauley,71.06
J.J. Henry,71.064
Charlie Wi,71.067
Tyrone Van Aswegen,71.07
Jonathan Byrd,71.083
Spencer Levin,71.086
"Ted Potter, Jr.",71.087
Pat Perez,71.11
Bryce Molder,71.112
Ken Duke,71.137
Andrew Loupe,71.142
Steven Bowditch,71.145
Hudson Swafford,71.167
Sangmoon Bae,71.168
James Hahn,71.186
Michael Thompson,71.194
Martin Flores,71.199
Wes Roach,71.206
Chesson Hadley,71.212
Brian Davis,71.232
John Huh,71.24
Sean O'Hair,71.24
Greg Chalmers,71.251
Charlie Beljan,71.28
Gonzalo Fdez-Castano,71.294
Josh Teater,71.301
Boo Weekley,71.307
Chad Collins,71.315
Jamie Lovemark,71.345
Ben Curtis,71.354
Kevin Streelman,71.354
Davis Love III,71.364
Russell Henley,71.379
Rory Sabbatini,71.381
Geoff Ogilvy,71.422
Martin Laird,71.436
Johnson Wagner,71.444
James Driscoll,71.454
David Lingmerth,71.469
John Peterson,71.47
Trevor Immelman,71.471
Brian Gay,71.493
Tommy Gainey,71.51
Richard Lee,71.528
Jonas Blixt,71.581
Jeff Maggert,71.612
Roberto Castro,71.617
Jim Herman,71.619
Nicholas Thompson,71.657
Briny Baird,71.679
Y.E. Yang,71.712
Mark Wilson,71.732
Woody Austin,71.743
Kyle Stanley,71.745
Bronson La'Cassie,71.772
Mike Weir,71.789
Scott Stallings,71.835
Jim Renner,71.843
John Merrick,71.852
Kevin Tway,71.912
D.H. Lee,71.914
John Rollins,71.932
Lucas Glover,72.233
Troy Matteson,72.237
D.A. Points,72.239
Derek Ernst,72.593
