PLAYER,AVERAGE,TOTAL PUTTS GAINED
Graeme McDowell,0.882,40.589
Aaron Baddeley,0.872,51.445
Greg Chalmers,0.856,62.482
Matt Every,0.733,47.669
Freddie Jacobson,0.704,56.992
Brendon Todd,0.664,60.431
Luke Donald,0.517,22.733
Morgan Hoffmann,0.506,45.523
Justin Leonard,0.496,30.751
Daniel Summerhays,0.492,43.275
Stuart Appleby,0.487,40.874
Jimmy Walker,0.479,34.989
John Senden,0.476,38.587
Michael Thompson,0.466,27.951
Matt Kuchar,0.457,34.717
Richard Lee,0.446,27.183
Chad Collins,0.438,26.719
Sangmoon Bae,0.418,27.179
Ben Curtis,0.4,25.623
Jordan Spieth,0.399,31.52
Kevin Kisner,0.388,27.176
Chris Kirk,0.374,32.127
Andres Romero,0.353,25.399
Retief Goosen,0.352,27.461
Andrew Loupe,0.35,17.494
K.J. Choi,0.332,22.255
Russell Henley,0.332,24.92
Brandt Snedeker,0.326,21.541
Jason Day,0.317,10.451
David Hearn,0.315,25.838
Kevin Na,0.315,24.589
William McGirt,0.314,26.367
Jonas Blixt,0.303,13.028
Webb Simpson,0.3,22.203
Ryan Palmer,0.295,19.733
Ben Martin,0.291,18.338
Rickie Fowler,0.29,17.976
Paul Casey,0.283,12.446
Brian Stuard,0.283,20.973
Erik Compton,0.282,21.133
Rory McIlroy,0.274,13.15
George McNeill,0.271,18.955
Brian Gay,0.268,16.901
Scott Langley,0.268,21.185
Charley Hoffman,0.266,20.191
Mike Weir,0.256,13.559
Keegan Bradley,0.254,17.003
Pat Perez,0.251,18.859
Bryce Molder,0.249,15.929
Patrick Reed,0.249,18.44
Jerry Kelly,0.239,15.752
Phil Mickelson,0.234,11.722
Jason Kokrak,0.222,13.532
Billy Horschel,0.22,15.21
Adam Scott,0.22,12.309
Scott Brown,0.211,17.502
Hunter Mahan,0.207,14.888
Tim Wilkinson,0.205,14.569
Luke Guthrie,0.19,14.457
Chris Stroud,0.182,13.118
Sergio Garcia,0.167,6.662
Brooks Koepka,0.162,6.783
Ricky Barnes,0.157,12.237
Will MacKenzie,0.154,11.273
Lee Westwood,0.151,6.509
Bill Haas,0.147,12.063
Brian Davis,0.145,11.779
Matt Jones,0.142,8.511
Danny Lee,0.141,9.737
Ben Crane,0.138,10.726
Jason Bohn,0.126,9.201
James Driscoll,0.123,7.137
Brendan Steele,0.121,8.462
Robert Streb,0.119,7.609
Brian Harman,0.113,11.399
Charlie Wi,0.112,7.308
Brice Garnett,0.109,8.475
Cameron Tringale,0.107,10.507
Zach Johnson,0.106,8.889
Ryo Ishikawa,0.092,5.682
Jim Furyk,0.091,6.024
Dustin Johnson,0.082,3.362
Sean O'Hair,0.082,5.51
Justin Hicks,0.069,6.188
Ian Poulter,0.067,2.759
Charl Schwartzel,0.055,2.994
David Toms,0.055,2.97
Johnson Wagner,0.05,2.927
Robert Garrigus,0.047,3.439
Ryan Moore,0.042,2.629
Chesson Hadley,0.041,2.884
Billy Hurley III,0.039,2.815
Charles Howell III,0.037,3.549
Tim Clark,0.025,1.538
D.H. Lee,0.024,1.062
Troy Merritt,0.024,1.325
Tommy Gainey,0.019,1.14
Jeff Overton,0.017,1.129
Tyrone Van Aswegen,0.017,1.074
Angel Cabrera,0.007,0.439
Kevin Streelman,0.006,0.333
Wes Roach,0,-0.015
Camilo Villegas,0,-0.021
Marc Leishman,-0.017,-1.14
Andrew Svoboda,-0.026,-1.704
Harris English,-0.028,-2.092
Brendon de Jonge,-0.032,-2.961
Justin Rose,-0.04,-2.062
Brad Fritsch,-0.05,-1.947
Bubba Watson,-0.05,-2.812
Bo Van Pelt,-0.053,-3.574
Y.E. Yang,-0.073,-4.43
J.B. Holmes,-0.075,-5.753
Nick Watney,-0.075,-4.191
Heath Slocum,-0.078,-4.862
David Lingmerth,-0.087,-5.82
Bronson La'Cassie,-0.088,-3.17
Graham DeLaet,-0.093,-5.982
Spencer Levin,-0.094,-4.683
Martin Kaymer,-0.111,-5.332
Russell Knox,-0.116,-9.627
Gonzalo Fdez-Castano,-0.12,-8.265
Seung-Yul Noh,-0.121,-9.089
Stewart Cink,-0.131,-9.399
Woody Austin,-0.137,-7.81
Carl Pettersson,-0.138,-11.737
Martin Flores,-0.144,-9.76
Shawn Stefani,-0.146,-8.331
Gary Woodland,-0.149,-10.847
Martin Laird,-0.154,-8.49
Briny Baird,-0.156,-7.024
Kevin Tway,-0.157,-7.357
John Huh,-0.159,-11.142
Robert Allenby,-0.163,-11.431
Henrik Stenson,-0.17,-6.447
Ernie Els,-0.171,-10.756
J.J. Henry,-0.187,-14.566
Hudson Swafford,-0.2,-11.617
Will Wilcox,-0.204,-8.141
"Ted Potter, Jr.",-0.216,-12.934
Josh Teater,-0.218,-16.385
Charlie Beljan,-0.231,-15.491
John Rollins,-0.252,-16.864
Jonathan Byrd,-0.271,-17.614
Kevin Chappell,-0.278,-24.167
Scott Stallings,-0.305,-19.191
James Hahn,-0.306,-22.332
Rory Sabbatini,-0.326,-21.162
Geoff Ogilvy,-0.331,-24.193
D.A. Points,-0.344,-18.917
Davis Love III,-0.361,-22.774
Jim Herman,-0.362,-17.364
Jhonattan Vegas,-0.37,-23.675
Roberto Castro,-0.384,-22.671
Bud Cauley,-0.389,-17.896
Hideki Matsuyama,-0.393,-25.129
Ken Duke,-0.409,-26.967
Michael Putnam,-0.409,-37.202
Troy Matteson,-0.422,-20.683
Louis Oosthuizen,-0.429,-12.882
Chad Campbell,-0.434,-19.952
Kevin Stadler,-0.467,-30.351
Trevor Immelman,-0.474,-31.78
Mark Wilson,-0.539,-30.747
Derek Ernst,-0.558,-35.154
John Merrick,-0.568,-40.919
Jason Dufner,-0.576,-24.208
Vijay Singh,-0.579,-43.983
Steven Bowditch,-0.581,-45.28
Jamie Lovemark,-0.585,-27.518
Nicholas Thompson,-0.622,-43.514
Jeff Maggert,-0.652,-28.696
Jim Renner,-0.792,-41.196
John Peterson,-0.819,-45.067
Boo Weekley,-1.152,-64.497
Kyle Stanley,-1.385,-99.737
Lucas Glover,-1.475,-69.302
