RK,PLAYER,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.
1,Dustin Johnson,317.7,55.5,1,67.1,1.715,38.6
2,Bubba Watson,315.2,56.6,2,64.5,1.756,46.9
3,Jason Day,313.7,55.9,3,67.1,1.712,61.1
4,Adam Scott,311.6,60.7,4,68.2,1.806,50
5,J.B. Holmes,309.9,54.1,5,63.7,1.73,48.6
6,Charlie Beljan,309.8,62.6,6,65.5,1.809,40.9
7,Tony Finau,309,54.3,7,67.6,1.756,45.1
8,Brooks Koepka,308.2,57.3,8,69.5,1.76,53.7
9,Patrick Rodgers,307.7,57,9,66.8,1.754,39.6
10,Keegan Bradley,306.1,64.9,10,64.5,1.781,44.9
11,Jason Kokrak,305.6,56.4,11,67.3,1.774,48
12,Gary Woodland,305.5,56.2,12,66.7,1.795,43.3
13,Ryan Palmer,305.2,56.6,13,65.9,1.774,49.2
14,Justin Rose,303.5,63.9,14,66.5,1.736,60.7
15,Justin Thomas,303.2,58.2,15,68.9,1.736,49.6
16,Brendan Steele,302.9,61.1,16,68.5,1.764,51.8
17,Charles Howell III,302.7,52.4,17,68.6,1.787,42.4
18,Steven Bowditch,302.1,54,18,62.8,1.755,59.4
19,Daniel Berger,302.1,60.7,18,68.8,1.779,53.4
20,Robert Garrigus,301.7,56.7,20,64,1.797,42.7
21,Jimmy Walker,301.6,52.2,21,63.1,1.743,53.4
22,Phil Mickelson,300.5,56,22,61.5,1.737,53.3
23,Martin Laird,300.5,58.5,22,66.3,1.77,51.8
24,Charl Schwartzel,300.4,60.8,24,65,1.792,51
25,Lee Westwood,300,59.7,25,67.8,1.765,59
26,Sergio Garcia,300,59.5,25,67.6,1.746,45.6
27,Jhonattan Vegas,299.9,56,27,65.4,1.794,45.8
28,Angel Cabrera,299.7,55.9,28,64.9,1.806,42.1
29,Charley Hoffman,298.9,58,29,66.2,1.746,50.3
30,Hudson Swafford,298.9,63.3,29,68.5,1.757,41.7
31,Louis Oosthuizen,298.8,59.8,31,67.2,1.777,60.8
32,Graham DeLaet,298.7,65.5,32,69.1,1.77,50.5
