PLAYER,SAND SAVE PERCENTAGE
Kevin Na,63.19
S.J. Park,63.08
Will Wilcox,63.08
David Toms,63.04
Chad Collins,62.81
Brendon Todd,61.9
Danny Lee,61.54
Matt Kuchar,61.49
Luke Donald,61.17
Jason Day,61.11
Louis Oosthuizen,60.82
Justin Rose,60.75
Chris Kirk,60.47
Heath Slocum,60.44
Zac Blair,60.39
Padraig Harrington,59.79
Jonathan Byrd,59.6
Steven Bowditch,59.39
Webb Simpson,59.2
Aaron Baddeley,59.13
Brandt Snedeker,59.04
Lee Westwood,59.04
Jamie Donaldson,58.97
Jordan Spieth,58.14
Scott Langley,57.94
K.J. Choi,57.29
Jon Curran,57.14
Bill Lunde,56.9
Jonas Blixt,56.64
Sam Saunders,56.64
Michael Putnam,56.56
Zach Johnson,56.25
Ryan Moore,55.86
Rickie Fowler,55.83
Brian Harman,55.8
Kyle Reifers,55.63
James Hahn,55.47
Rory Sabbatini,55.45
Colt Knost,55.34
Carlos Ortiz,55.19
Roberto Castro,54.88
Chris Stroud,54.84
Mark Wilson,54.63
Scott Brown,54.2
Hunter Mahan,54.19
Brian Davis,54.14
Matt Jones,54.04
Chad Campbell,53.91
Tyrone Van Aswegen,53.85
Mark Hubbard,53.78
Brooks Koepka,53.68
George McNeill,53.68
Eric Axley,53.54
D.A. Points,53.49
Cameron Tringale,53.47
William McGirt,53.42
Jimmy Walker,53.42
Daniel Berger,53.38
Phil Mickelson,53.29
Stewart Cink,53.26
David Lingmerth,53.24
Pat Perez,52.86
Tim Wilkinson,52.71
Ben Crane,52.63
Ian Poulter,52.54
Robert Streb,52.53
Bill Haas,52.5
Jonathan Randolph,52.29
Matt Every,52.27
Patrick Reed,52.24
Bryce Molder,52.03
Sangmoon Bae,52
Martin Laird,51.82
Andrew Putnam,51.82
Sean O'Hair,51.77
Steve Wheatcroft,51.77
Ernie Els,51.76
Jim Herman,51.75
Brendan Steele,51.75
John Huh,51.63
Steven Alker,51.61
Seung-Yul Noh,51.55
John Peterson,51.26
Vijay Singh,51.16
Charl Schwartzel,50.98
Adam Hadwin,50.96
Luke Guthrie,50.85
Derek Fathauer,50.78
Erik Compton,50.77
Brian Stuard,50.7
Greg Chalmers,50.63
Graham DeLaet,50.54
Jason Gore,50.51
Nick Watney,50.42
Martin Flores,50.36
Charley Hoffman,50.3
Carl Pettersson,50.3
Kevin Kisner,50
Adam Scott,50
John Senden,50
Nick Taylor,50
Justin Thomas,49.64
Ben Martin,49.59
Brice Garnett,49.58
Marc Leishman,49.57
Chesson Hadley,49.44
Henrik Stenson,49.43
Ryo Ishikawa,49.31
Scott Pinckney,49.17
Ryan Palmer,49.15
Lucas Glover,49.11
Michael Thompson,48.92
Cameron Percy,48.86
Ken Duke,48.82
Hideki Matsuyama,48.82
Morgan Hoffmann,48.67
J.B. Holmes,48.65
Jerry Kelly,48.65
Francesco Molinari,48.61
Scott Stallings,48.39
Justin Leonard,48.15
Jeff Overton,48.05
Jason Kokrak,48
Billy Hurley III,47.93
Harris English,47.89
Kevin Streelman,47.1
Blayne Barber,47.06
Billy Horschel,47.06
Ricky Barnes,46.92
Bubba Watson,46.88
Andres Gonzales,46.85
Greg Owen,46.75
Alex Cejka,46.67
Boo Weekley,46.61
Daniel Summerhays,46.58
Nicholas Thompson,46.28
Jason Bohn,46.15
Roger Sloan,46.03
Kevin Chappell,45.93
Troy Merritt,45.89
Andres Romero,45.87
Jhonattan Vegas,45.79
Shawn Stefani,45.65
Sergio Garcia,45.56
Gonzalo Fdez-Castano,45.45
Brendon de Jonge,45.28
Russell Henley,45.19
Tony Finau,45.1
Camilo Villegas,45.03
Byron Smith,45
Keegan Bradley,44.88
Jim Furyk,44.59
Whee Kim,44.57
Retief Goosen,44.55
Johnson Wagner,44.44
Oscar Fraustro,43.53
Gary Woodland,43.27
Russell Knox,43.12
Tom Hoge,42.86
Robert Garrigus,42.7
Charles Howell III,42.42
Robert Allenby,42.35
Bo Van Pelt,42.34
Angel Cabrera,42.06
Jason Dufner,41.73
Hudson Swafford,41.73
Alex Prugh,41.51
Geoff Ogilvy,41.33
Jim Renner,41.11
Charlie Beljan,40.94
John Merrick,40.78
Derek Ernst,40.57
J.J. Henry,40.19
Fabian Gomez,39.84
Patrick Rodgers,39.56
Spencer Levin,39.2
David Hearn,38.97
Dustin Johnson,38.6
Paul Casey,38.46
Max Homa,38.4
Scott Piercy,37.5
Chez Reavie,37.5
Davis Love III,37.35
Andrew Svoboda,37.17
