PLAYER,scrambling
Chad Collins,66.18
Jason Day,65.34
Steven Bowditch,65.19
Jordan Spieth,65.03
Jonathan Byrd,64.92
Zac Blair,64.81
Jerry Kelly,64.46
S.J. Park,64.42
Webb Simpson,64.38
Billy Hurley III,64.17
William McGirt,64.09
David Toms,63.96
Matt Kuchar,63.78
John Peterson,63.47
Brandt Snedeker,63.27
K.J. Choi,63.12
Rory Sabbatini,63.11
Jim Furyk,62.93
Kevin Na,62.87
Bryce Molder,62.85
Kevin Kisner,62.66
Brendon Todd,62.63
John Huh,62.6
Will Wilcox,62.55
Henrik Stenson,62.24
Carl Pettersson,62.18
Cameron Tringale,62.09
Patrick Reed,61.99
Ben Crane,61.98
Hideki Matsuyama,61.92
Bill Haas,61.9
Bubba Watson,61.89
Troy Merritt,61.83
Justin Leonard,61.8
Jon Curran,61.72
Harris English,61.65
Justin Thomas,61.55
Mark Hubbard,61.52
Steven Alker,61.5
Kyle Reifers,61.36
Louis Oosthuizen,61.3
Matt Jones,61.27
David Lingmerth,61.27
George McNeill,61.21
Sangmoon Bae,61.16
Luke Donald,61.14
Rickie Fowler,61.1
Aaron Baddeley,61
Zach Johnson,60.98
Vijay Singh,60.97
Jason Bohn,60.9
Danny Lee,60.86
Jonathan Randolph,60.8
Ian Poulter,60.76
Scott Brown,60.69
Eric Axley,60.68
Brian Davis,60.68
Steve Wheatcroft,60.68
Daniel Berger,60.66
Ryan Palmer,60.57
Erik Compton,60.53
Alex Cejka,60.39
Mark Wilson,60.37
Chris Kirk,60.3
Ryan Moore,60.25
Brian Stuard,60.23
Martin Laird,60.17
Brendan Steele,60.08
Ricky Barnes,60
Pat Perez,60
Russell Knox,59.92
Chris Stroud,59.92
Boo Weekley,59.91
Greg Owen,59.81
D.A. Points,59.78
Spencer Levin,59.75
Brian Harman,59.63
Hunter Mahan,59.6
Robert Streb,59.57
Blayne Barber,59.51
Jamie Donaldson,59.48
Johnson Wagner,59.47
Sean O'Hair,59.42
Phil Mickelson,59.38
Retief Goosen,59.35
J.B. Holmes,59.35
Kevin Chappell,59.32
Chad Campbell,59.31
Jhonattan Vegas,59.25
Max Homa,59.23
Brendon de Jonge,59.19
Morgan Hoffmann,59.16
Scott Langley,59.15
Justin Rose,59.14
Michael Putnam,59.08
Camilo Villegas,59.06
Colt Knost,58.93
Jeff Overton,58.8
Martin Flores,58.77
Charley Hoffman,58.74
Fabian Gomez,58.72
Ken Duke,58.71
Nick Watney,58.69
Kevin Streelman,58.66
Scott Piercy,58.63
Tom Hoge,58.59
Jonas Blixt,58.57
James Hahn,58.46
Sergio Garcia,58.41
Adam Hadwin,58.39
Francesco Molinari,58.33
Tim Wilkinson,58.33
Nick Taylor,58.32
Jason Kokrak,58.3
Keegan Bradley,58.25
Tyrone Van Aswegen,58.2
Stewart Cink,58.13
Jim Herman,58.02
Dustin Johnson,57.85
Gonzalo Fdez-Castano,57.8
Sam Saunders,57.79
Daniel Summerhays,57.76
Whee Kim,57.72
Jimmy Walker,57.71
Chesson Hadley,57.7
Billy Horschel,57.61
Luke Guthrie,57.57
Bill Lunde,57.53
Derek Fathauer,57.46
Russell Henley,57.43
David Hearn,57.42
Greg Chalmers,57.39
Graham DeLaet,57.34
John Merrick,57.31
Derek Ernst,57.24
Davis Love III,57.19
Padraig Harrington,57.01
Heath Slocum,56.9
Andrew Putnam,56.71
Andres Romero,56.7
Marc Leishman,56.67
Gary Woodland,56.66
Brooks Koepka,56.63
Ernie Els,56.59
Patrick Rodgers,56.47
Shawn Stefani,56.44
Oscar Fraustro,56.42
Cameron Percy,56.16
Tony Finau,56.15
Paul Casey,56.13
Charles Howell III,56.06
Chez Reavie,55.88
Matt Every,55.87
Bo Van Pelt,55.84
Scott Pinckney,55.75
Brice Garnett,55.65
Andres Gonzales,55.62
Carlos Ortiz,55.5
Ryo Ishikawa,55.45
Hudson Swafford,55.39
Michael Thompson,55.36
Jason Dufner,55.28
John Senden,55.2
Lucas Glover,55
Jim Renner,54.96
Seung-Yul Noh,54.89
Jason Gore,54.87
Charl Schwartzel,54.66
Roberto Castro,54.43
J.J. Henry,54.3
Scott Stallings,54.23
Byron Smith,54.22
Adam Scott,54.09
Ben Martin,54.04
Roger Sloan,53.62
Robert Garrigus,53.04
Alex Prugh,53.02
Lee Westwood,52.23
Nicholas Thompson,52.06
Robert Allenby,51.69
Geoff Ogilvy,51.56
Andrew Svoboda,51.08
Angel Cabrera,50.45
Charlie Beljan,48.77
