PLAYER,birdie conversion
Jordan Spieth,38.64
Dustin Johnson,37.53
Hideki Matsuyama,36.82
Jason Day,36.39
Rory McIlroy,35.63
Adam Scott,35.57
Phil Mickelson,34.83
Andrew Loupe,33.97
Rickie Fowler,33.84
J.B. Holmes,33.78
Kevin Kisner,33.76
Anirban Lahiri,33.69
Jimmy Walker,33.45
Brooks Koepka,33.01
Ryan Palmer,32.89
Jonas Blixt,32.86
Henrik Stenson,32.84
Justin Rose,32.83
Aaron Baddeley,32.42
Daniel Summerhays,32.36
Justin Thomas,32.2
Matt Kuchar,32.16
Tony Finau,32.12
Kevin Na,32.12
Marc Leishman,32.09
Freddie Jacobson,32.08
Michael Thompson,32.07
Webb Simpson,31.97
Harold Varner III,31.93
Sergio Garcia,31.76
Danny Lee,31.69
Smylie Kaufman,31.58
Matt Jones,31.52
Billy Horschel,31.46
Tim Wilkinson,31.39
Charles Howell III,31.35
Troy Merritt,31.35
Vaughn Taylor,31.34
Graeme McDowell,31.33
Ben Crane,31.3
Steve Stricker,31.23
Daniel Berger,31.13
Jason Bohn,31.08
Jason Dufner,31.08
Adam Hadwin,31.08
Martin Laird,31.08
Morgan Hoffmann,31
Jamie Lovemark,30.97
David Lingmerth,30.95
Derek Fathauer,30.92
Brandt Snedeker,30.92
Graham DeLaet,30.9
Sean O'Hair,30.88
Cameron Tringale,30.88
Bubba Watson,30.83
Carlos Ortiz,30.78
Rory Sabbatini,30.77
Alex Cejka,30.76
Zach Johnson,30.74
Luke Guthrie,30.6
Charley Hoffman,30.6
Luke List,30.6
Patrick Reed,30.58
Patton Kizzire,30.43
Steven Bowditch,30.41
Seung-Yul Noh,30.39
James Hahn,30.37
Scott Piercy,30.35
Gary Woodland,30.35
Brian Harman,30.34
Ryan Moore,30.28
Emiliano Grillo,30.26
Kyle Reifers,30.18
Will Wilcox,30.16
Harris English,30.14
Kevin Chappell,30.12
Branden Grace,30.1
Ricky Barnes,30.05
Paul Casey,30.02
Boo Weekley,30
Pat Perez,29.94
Wes Roach,29.91
Ben Martin,29.89
Bryce Molder,29.89
Hunter Mahan,29.81
Hudson Swafford,29.81
Brendan Steele,29.78
Nick Taylor,29.76
Fabian Gomez,29.72
Jason Gore,29.71
Scott Brown,29.68
William McGirt,29.65
George McNeill,29.63
Michael Kim,29.58
Ernie Els,29.51
Retief Goosen,29.5
Kyle Stanley,29.5
Tom Hoge,29.49
Brice Garnett,29.44
John Senden,29.42
Padraig Harrington,29.39
Charl Schwartzel,29.34
Cameron Smith,29.33
Sung Kang,29.31
Abraham Ancer,29.28
Si Woo Kim,29.18
Hiroshi Iwata,29.17
Brian Stuard,29.1
Jason Kokrak,29.09
Peter Malnati,29.07
Francesco Molinari,29.07
Patrick Rodgers,28.94
Scott Stallings,28.86
Erik Compton,28.82
Jon Curran,28.82
Dawie van der Walt,28.81
Robert Garrigus,28.79
Andres Gonzales,28.67
Stuart Appleby,28.48
Carl Pettersson,28.46
Chad Campbell,28.45
Jamie Donaldson,28.42
Davis Love III,28.4
Kevin Streelman,28.39
Jhonattan Vegas,28.38
Russell Knox,28.35
Spencer Levin,28.35
Scott Pinckney,28.32
Mark Hubbard,28.31
Angel Cabrera,28.27
Russell Henley,28.26
Shane Lowry,28.26
Roberto Castro,28.2
Tyrone Van Aswegen,28.18
K.J. Choi,28.09
Colt Knost,28.05
Keegan Bradley,28.04
Steve Wheatcroft,28.03
David Hearn,27.99
Lucas Glover,27.97
Chez Reavie,27.94
Steve Marino,27.93
Stewart Cink,27.92
Justin Leonard,27.91
D.H. Lee,27.79
Rob Oppenheim,27.72
Chesson Hadley,27.69
D.A. Points,27.6
Chris Stroud,27.57
Blayne Barber,27.48
Jim Herman,27.43
John Huh,27.38
Camilo Villegas,27.33
Brendon Todd,27.29
Vijay Singh,27.27
Will MacKenzie,27.21
Tyler Aldridge,27.18
Greg Owen,27.12
Henrik Norlander,27.11
Kelly Kraft,27.1
Ken Duke,27.07
Dicky Pride,27.05
Bronson Burgoon,27.04
Zac Blair,26.93
Martin Piller,26.92
Sam Saunders,26.88
Robert Streb,26.86
Justin Hicks,26.85
Johnson Wagner,26.8
Chris Kirk,26.68
Jeff Overton,26.59
Matt Every,26.57
Billy Hurley III,26.53
Andrew Landry,26.52
Brett Stegmaier,26.49
Andy Sullivan,26.47
Bill Haas,26.21
Luke Donald,26.2
David Toms,26.1
Shane Bertsch,25.92
Whee Kim,25.92
Chad Collins,25.86
Louis Oosthuizen,25.86
Bernd Wiesberger,25.83
Geoff Ogilvy,25.58
Scott Langley,25.53
Darron Stiles,25.38
Brendon de Jonge,25.34
Jerry Kelly,25.25
Ian Poulter,25.2
Rhein Gibson,25.1
Derek Ernst,25.06
Mark Wilson,25
Tim Herron,24.55
Shawn Stefani,24.22
Thomas Aiken,23.1
J.J. Henry,22.12
Robert Allenby,21.77
Charlie Beljan,21.4
