PLAYER,PAR 5
Rory McIlroy,4.45
Ryan Palmer,4.5
Adam Scott,4.5
Rickie Fowler,4.51
Jason Day,4.52
Harold Varner III,4.52
Gary Woodland,4.52
Justin Rose,4.53
Bubba Watson,4.53
Brendan Steele,4.54
Jimmy Walker,4.54
Phil Mickelson,4.55
Jordan Spieth,4.55
Charles Howell III,4.56
Francesco Molinari,4.56
Justin Thomas,4.56
Tony Finau,4.57
Dustin Johnson,4.57
Matt Kuchar,4.57
Andrew Loupe,4.57
Henrik Stenson,4.57
Lucas Glover,4.58
Smylie Kaufman,4.58
Luke List,4.58
Hideki Matsuyama,4.58
Patrick Reed,4.58
Jhonattan Vegas,4.58
Jamie Lovemark,4.59
Chad Campbell,4.6
Sergio Garcia,4.6
Si Woo Kim,4.6
Ben Martin,4.6
Kyle Reifers,4.6
Daniel Summerhays,4.6
Morgan Hoffmann,4.61
Kevin Kisner,4.61
Scott Piercy,4.61
Patrick Rodgers,4.61
Michael Thompson,4.61
Boo Weekley,4.61
Kevin Chappell,4.62
Adam Hadwin,4.62
Brooks Koepka,4.62
Marc Leishman,4.62
Sean O'Hair,4.62
Hudson Swafford,4.62
Paul Casey,4.63
Alex Cejka,4.63
Stewart Cink,4.63
Jason Dufner,4.63
Harris English,4.63
Fabian Gomez,4.63
Jim Herman,4.63
Zach Johnson,4.63
Jason Kokrak,4.63
Graeme McDowell,4.63
Cameron Tringale,4.63
Johnson Wagner,4.63
Jonas Blixt,4.64
Jason Bohn,4.64
Charley Hoffman,4.64
Mark Hubbard,4.64
John Huh,4.64
John Senden,4.64
Bronson Burgoon,4.65
Roberto Castro,4.65
Luke Guthrie,4.65
Sung Kang,4.65
Chris Kirk,4.65
Patton Kizzire,4.65
Colt Knost,4.65
Russell Knox,4.65
David Lingmerth,4.65
Pat Perez,4.65
Ian Poulter,4.65
Aaron Baddeley,4.66
Derek Fathauer,4.66
Padraig Harrington,4.66
Matt Jones,4.66
Spencer Levin,4.66
Peter Malnati,4.66
William McGirt,4.66
Louis Oosthuizen,4.66
Charl Schwartzel,4.66
Brett Stegmaier,4.66
Robert Streb,4.66
Will Wilcox,4.66
Daniel Berger,4.67
Robert Garrigus,4.67
Branden Grace,4.67
Bill Haas,4.67
J.B. Holmes,4.67
Danny Lee,4.67
Bryce Molder,4.67
Dicky Pride,4.67
Brandt Snedeker,4.67
Chris Stroud,4.67
Dawie van der Walt,4.67
Blayne Barber,4.68
Brendon de Jonge,4.68
Jamie Donaldson,4.68
Derek Ernst,4.68
James Hahn,4.68
Billy Horschel,4.68
Seung-Yul Noh,4.68
Wes Roach,4.68
Shawn Stefani,4.68
Ernie Els,4.69
Emiliano Grillo,4.69
Freddie Jacobson,4.69
Chez Reavie,4.69
Webb Simpson,4.69
Scott Stallings,4.69
Kyle Stanley,4.69
Keegan Bradley,4.7
Erik Compton,4.7
Retief Goosen,4.7
Kelly Kraft,4.7
Anirban Lahiri,4.7
Steve Stricker,4.7
Stuart Appleby,4.71
Scott Brown,4.71
Ben Crane,4.71
Andres Gonzales,4.71
Henrik Norlander,4.71
Geoff Ogilvy,4.71
Vijay Singh,4.71
Kevin Streelman,4.71
Nick Taylor,4.71
David Toms,4.71
K.J. Choi,4.72
Luke Donald,4.72
Brian Harman,4.72
J.J. Henry,4.72
Justin Hicks,4.72
Tom Hoge,4.72
Jerry Kelly,4.72
D.H. Lee,4.72
Kevin Na,4.72
Scott Pinckney,4.72
Steve Wheatcroft,4.72
Chesson Hadley,4.73
Troy Merritt,4.73
Tyrone Van Aswegen,4.73
Mark Wilson,4.73
Brice Garnett,4.74
Whee Kim,4.74
Michael Kim,4.74
Martin Laird,4.74
Scott Langley,4.74
Justin Leonard,4.74
Jeff Overton,4.74
Brendon Todd,4.74
Graham DeLaet,4.75
Jason Gore,4.75
David Hearn,4.75
Shane Lowry,4.75
Rob Oppenheim,4.75
Greg Owen,4.75
Martin Piller,4.75
Rory Sabbatini,4.75
Sam Saunders,4.75
Cameron Smith,4.75
Camilo Villegas,4.75
Tim Wilkinson,4.75
Thomas Aiken,4.76
Tyler Aldridge,4.76
Shane Bertsch,4.76
Chad Collins,4.76
Jon Curran,4.76
Ken Duke,4.76
Russell Henley,4.76
Hunter Mahan,4.76
George McNeill,4.76
Carlos Ortiz,4.76
Bernd Wiesberger,4.76
Ricky Barnes,4.77
Zac Blair,4.77
Billy Hurley III,4.77
Hiroshi Iwata,4.77
Andrew Landry,4.77
D.A. Points,4.77
Vaughn Taylor,4.77
Steve Marino,4.78
Rhein Gibson,4.79
Tim Herron,4.79
Davis Love III,4.79
Ryan Moore,4.79
Will MacKenzie,4.8
Darron Stiles,4.8
Brian Stuard,4.8
Matt Every,4.81
Andy Sullivan,4.81
Abraham Ancer,4.83
Steven Bowditch,4.83
Angel Cabrera,4.83
Carl Pettersson,4.83
Robert Allenby,4.85
Charlie Beljan,4.92
