PLAYER,POS
Danny Willett,1
Jordan Spieth,2
Lee Westwood,2
Paul Casey,4
J.B. Holmes,4
Dustin Johnson,4
Matthew Fitzpatrick,7
Soren Kjeldsen,7
Hideki Matsuyama,7
Daniel Berger,10
Jason Day,10
Rory McIlroy,10
Justin Rose,10
Brandt Snedeker,10
Kiradech Aphibarnrat,15
Louis Oosthuizen,15
Rafa Cabrera Bello,17
Emiliano Grillo,17
Billy Horschel,17
Danny Lee,17
Jamie Donaldson,21
Brooks Koepka,21
Bryson DeChambeau,21
Angel Cabrera,24
Bill Haas,24
Matt Kuchar,24
Bernhard Langer,24
Henrik Stenson,24
Charley Hoffman,29
Smylie Kaufman,29
Scott Piercy,29
Webb Simpson,29
Jimmy Walker,29
Sergio Garcia,34
Kevin Streelman,34
Bernd Wiesberger,34
Kevin Kisner,37
Bubba Watson,37
Shane Lowry,39
Justin Thomas,39
Romain Langasque,39
Victor Dubuisson,42
Harris English,42
Anirban Lahiri,42
Davis Love III,42
Troy Merritt,42
Adam Scott,42
Chris Wood,42
Martin Kaymer,49
Ian Poulter,49
Patrick Reed,49
Keegan Bradley,52
Larry Mize,52
Hunter Mahan,54
Kevin Na,55
Cameron Smith,55
Thongchai Jaidee,57
Byeong-Hun An,58
Trevor Immelman,59
Marc Leishman,60
Phil Mickelson,61
Vaughn Taylor,62
Branden Grace,63
Zach Johnson,64
Russell Knox,65
David Lingmerth,66
Charl Schwartzel,67
Tom Watson,68
Derek Bard,69
Jason Dufner,70
Ernie Els,71
Rickie Fowler,72
Jim Herman,73
Chris Kirk,74
Graeme McDowell,75
Vijay Singh,76
Mike Weir,77
Ryan Moore,78
Sammy Schmitz,79
Robert Streb,80
Fabian Gomez,81
Cheng Jin,82
Sandy Lyle,83
Mark O'Meara,84
Andy Sullivan,85
Darren Clarke,86
Steven Bowditch,87
Ian Woosnam,88
Paul Chaplet,89
